"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.006392,1,0.000272,0.000272,0,0
-0.0017275,1,0.000274,0.000274,0,0
0.002937,1,0.000276,0.000276,0,0
0.0076015,1,0.000278,0.000278,0,0
0.0077676,1,0.00028,0.00028,0,0
0.0067315,1,0.000282,0.000282,0,0
0.0056955,1,0.000284,0.000284,0,0
0.0046594,1,0.000286,0.000286,0,0
0.0036234,1,0.000288,0.000288,0,0
0.0025873,1,0.00029,0.00029,0,0
0.0015513,1,0.000292,0.000292,0,0
0.00051521,1,0.000294,0.000294,0,0
-0.00052083,1,0.000296,0.000296,0,0
-0.0015569,1,0.000298,0.000298,0,0
-0.0017545,1,0.0003,0.0003,0,0
-0.0015244,1,0.000302,0.000302,0,0
-0.0012943,1,0.000304,0.000304,0,0
-0.0010641,1,0.000306,0.000306,0,0
-0.00083402,1,0.000308,0.000308,0,0
-0.0006039,1,0.00031,0.00031,0,0
-0.00037377,1,0.000312,0.000312,0,0
-0.00014365,1,0.000314,0.000314,0,0
8.6477e-05,1,0.000316,0.000316,0,0
0.0003166,1,0.000318,0.000318,0,0
0.00039619,1,0.00032,0.00032,0,0
0.00034508,1,0.000322,0.000322,0,0
0.00029396,1,0.000324,0.000324,0,0
0.00024285,1,0.000326,0.000326,0,0
0.00019174,1,0.000328,0.000328,0,0
0.00014062,1,0.00033,0.00033,0,0
8.9508e-05,1,0.000332,0.000332,0,0
3.8394e-05,1,0.000334,0.000334,0,0
-1.272e-05,1,0.000336,0.000336,0,0
-6.3834e-05,1,0.000338,0.000338,0,0
-8.9442e-05,1,0.00034,0.00034,0,0
-7.8089e-05,1,0.000342,0.000342,0,0
-6.6735e-05,1,0.000344,0.000344,0,0
-5.5382e-05,1,0.000346,0.000346,0,0
-4.4029e-05,1,0.000348,0.000348,0,0
-3.2676e-05,1,0.00035,0.00035,0,0
-2.1322e-05,1,0.000352,0.000352,0,0
-9.969e-06,1,0.000354,0.000354,0,0
1.3841e-06,1,0.000356,0.000356,0,0
1.2737e-05,1,0.000358,0.000358,0,0
2.0187e-05,1,0.00036,0.00036,0,0
1.7665e-05,1,0.000362,0.000362,0,0
1.5143e-05,1,0.000364,0.000364,0,0
1.2621e-05,1,0.000366,0.000366,0,0
1.01e-05,1,0.000368,0.000368,0,0
7.5778e-06,1,0.00037,0.00037,0,0
5.0561e-06,1,0.000372,0.000372,0,0
2.5344e-06,1,0.000374,0.000374,0,0
1.2634e-08,1,0.000376,0.000376,0,0
-2.5091e-06,1,0.000378,0.000378,0,0
-4.5548e-06,1,0.00038,0.00038,0,0
-3.9947e-06,1,0.000382,0.000382,0,0
-3.4346e-06,1,0.000384,0.000384,0,0
-2.8745e-06,1,0.000386,0.000386,0,0
-2.3144e-06,1,0.000388,0.000388,0,0
-1.7542e-06,1,0.00039,0.00039,0,0
-1.1941e-06,1,0.000392,0.000392,0,0
-6.3401e-07,1,0.000394,0.000394,0,0
-7.3897e-08,1,0.000396,0.000396,0,0
4.8622e-07,1,0.000398,0.000398,0,0
1.0275e-06,1,0.0004,0.0004,0,0
9.0308e-07,1,0.000402,0.000402,0,0
7.7867e-07,1,0.000404,0.000404,0,0
6.5426e-07,1,0.000406,0.000406,0,0
5.2985e-07,1,0.000408,0.000408,0,0
4.0544e-07,1,0.00041,0.00041,0,0
2.8103e-07,1,0.000412,0.000412,0,0
1.5662e-07,1,0.000414,0.000414,0,0
3.2206e-08,1,0.000416,0.000416,0,0
-9.2204e-08,1,0.000418,0.000418,0,0
-2.1662e-07,1,0.00042,0.00042,0,0
-2.041e-07,1,0.000422,0.000422,0,0
-1.7646e-07,1,0.000424,0.000424,0,0
-1.4883e-07,1,0.000426,0.000426,0,0
-1.212e-07,1,0.000428,0.000428,0,0
-9.3562e-08,1,0.00043,0.00043,0,0
-6.5928e-08,1,0.000432,0.000432,0,0
-3.8295e-08,1,0.000434,0.000434,0,0
-1.0661e-08,1,0.000436,0.000436,0,0
1.6973e-08,1,0.000438,0.000438,0,0
4.4606e-08,1,0.00044,0.00044,0,0
4.6112e-08,1,0.000442,0.000442,0,0
3.9974e-08,1,0.000444,0.000444,0,0
3.3836e-08,1,0.000446,0.000446,0,0
2.7698e-08,1,0.000448,0.000448,0,0
2.1561e-08,1,0.00045,0.00045,0,0
1.5423e-08,1,0.000452,0.000452,0,0
9.2849e-09,1,0.000454,0.000454,0,0
3.147e-09,1,0.000456,0.000456,0,0
-2.9909e-09,1,0.000458,0.000458,0,0
-9.1287e-09,1,0.00046,0.00046,0,0
-1.0415e-08,1,0.000462,0.000462,0,0
-9.0519e-09,1,0.000464,0.000464,0,0
-7.6886e-09,1,0.000466,0.000466,0,0
-6.3253e-09,1,0.000468,0.000468,0,0
-4.962e-09,1,0.00047,0.00047,0,0
-3.5987e-09,1,0.000472,0.000472,0,0
-2.2354e-09,1,0.000474,0.000474,0,0
-8.7206e-10,1,0.000476,0.000476,0,0
4.9127e-10,1,0.000478,0.000478,0,0
1.8546e-09,1,0.00048,0.00048,0,0
2.3518e-09,1,0.000482,0.000482,0,0
