t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1
0.1,3757097780291388.0,3773641769608800.5,16543989317414.432,0.0,0.0,0.0,0.0
0.202,5653809461583136.0,5678705585615700.0,24896124032567.957,0.0,0.0,0.0,0.0
0.30604000000000003,7100091720511424.0,7131356459265407.0,31264738753981.47,0.0,0.0,0.0,0.0
0.41216080000000005,8323735795524420.0,8360388767966213.0,36652972441799.58,0.0,0.0,0.0,0.0
0.5204040160000001,9410541160205010.0,9451979804151962.0,41438643946936.945,0.0,0.0,0.0,0.0
0.6308120963200001,1.0403306987171332e+16,1.0449117205211088e+16,45810218039751.336,0.0,0.0,0.0,0.0
0.7434283382464002,1.1326921085885032e+16,1.1376798372858286e+16,49877286973244.7,0.0,0.0,0.0,0.0
0.8582969050113283,1.2197331342302838e+16,1.2251041418657306e+16,53710076354484.18,0.0,0.0,0.0,0.0
0.9754628431115548,1.302546812333553e+16,1.3082824840716542e+16,57356717380994.88,0.0,0.0,0.0,0.0
1.094972099973786,1.3819202979854108e+16,1.3880054859173514e+16,60851879319396.64,0.0,0.0,0.0,0.0
1.2168715419732616,1.4584424309179546e+16,1.4648645784829516e+16,64221475649971.28,0.0,0.0,0.0,0.0
1.3412089728127268,1.5325671844833868e+16,1.5393157350090138e+16,67485505256283.48,0.0,0.0,0.0,0.0
1.4680331522689813,1.604653257786218e+16,1.6117192341018502e+16,70659763156335.78,0.0,0.0,0.0,0.0
1.597393815314361,1.6749899132814894e+16,1.682365611960245e+16,73756986787555.67,0.0,0.0,0.0,0.0
1.729341691620648,1.7438144779643714e+16,1.7514932406298346e+16,76787626654618.14,0.0,0.0,0.0,0.0
1.863928525453061,1.8113245716193916e+16,1.8193006100982812e+16,79760384788913.75,0.0,0.0,0.0,0.0
2.001207095962122,1.8776868796023136e+16,1.885955139707316e+16,82682601050026.45,0.0,0.0,0.0,0.0
2.1412312378813647,1.9430435914558536e+16,1.9515996451203036e+16,85560536644487.19,0.0,0.0,0.0,0.0
2.284055862638992,2.0075172209260356e+16,2.016357179563138e+16,88399586371027.28,0.0,0.0,0.0,0.0
2.4297369798917723,2.071214277598696e+16,2.08033472162849e+16,91204440297978.56,0.0,0.0,0.0,0.0
2.578331719489608,2.1342281071805096e+16,2.143626028063778e+16,93979208832677.94,0.0,0.0,0.0,0.0
2.7298983538794,2.19664111906208e+16,2.2063138711431188e+16,96727520810372.56,0.0,0.0,0.0,0.0
2.884496320956988,2.2585265550189948e+16,2.268471815156749e+16,99452601377531.17,0.0,0.0,0.0,0.0
3.0421862473761276,2.3199499092931156e+16,2.330165642745519e+16,102157334523981.0,0.0,0.0,0.0,0.0
3.2030299723236504,2.3809700803421612e+16,2.39145451172209e+16,104844313799277.66,0.0,0.0,0.0,0.0
3.3670905717701234,2.4416403135989772e+16,2.4523919019816124e+16,107515883826364.4,0.0,0.0,0.0,0.0
3.5344323832055258,2.502008979692676e+16,2.5130263971496692e+16,110174174569926.92,0.0,0.0,0.0,0.0
3.7051210308696363,2.5621202218415468e+16,2.573402334825925e+16,112821129843832.28,0.0,0.0,0.0,0.0
3.879223451487029,2.6220144982706644e+16,2.6335603513902704e+16,115458531196068.23,0.0,0.0,0.0,0.0
4.0568079205167695,2.6817290396883988e+16,2.6935378414937332e+16,118088018053364.97,0.0,0.0,0.0,0.0
4.237944078927105,2.7412982374960936e+16,2.7533693479776624e+16,120711104815708.69,0.0,0.0,0.0,0.0
4.422702960505647,2.8007539751037364e+16,2.813086894648291e+16,123329195445575.38,0.0,0.0,0.0,0.0
4.61115701971576,2.860125912199434e+16,2.8727202717979856e+16,125943595985516.33,0.0,0.0,0.0,0.0
4.803380160110075,2.9194417298709604e+16,2.9322972824061544e+16,128555525351899.84,0.0,0.0,0.0,0.0
4.9994477633122765,2.978727342960293e+16,2.9918439554288732e+16,131166124685781.86,0.0,0.0,0.0,0.0
5.199436718578522,3.038007084840534e+16,3.051384731389479e+16,133776465489417.75,0.0,0.0,0.0,0.0
5.403425452950093,3.097303868862747e+16,3.11094262453629e+16,136387556735450.17,0.0,0.0,0.0,0.0
5.611493962009095,3.156639329969624e+16,3.1705393650799012e+16,139000351102761.44,0.0,0.0,0.0,0.0
5.823723841249277,3.216033949371525e+16,3.230195524418171e+16,141615750466488.5,0.0,0.0,0.0,0.0
6.040198318074262,3.2755071646947676e+16,3.2899306257695936e+16,144234610748319.62,0.0,0.0,0.0,0.0
6.261002284435747,3.3350774676181404e+16,3.3497632422397204e+16,146857746215846.22,0.0,0.0,0.0,0.0
6.486222330124463,3.394762490691967e+16,3.4097110840225264e+16,149485933305572.7,0.0,0.0,0.0,0.0
6.715946776726952,3.4545790847701724e+16,3.469791076173432e+16,152119914032583.2,0.0,0.0,0.0,0.0
