t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
0.1,1301436301972856.8,2401541677724917.5,422763850992510.6,677341524759550.8,0.0,0.0,0.0,-2.162416271574588e-76
0.202,1956131796038606.0,3610342146108169.5,635437809410286.4,1018082461769096.4,165695318.4341446,559346300.3192991,18794667093.334614,670559181468.8616
0.30604000000000003,2455701903600531.0,4533266892234004.0,797720197238860.1,1278087231950887.0,420179975.79238707,1418434456.5631766,47678662010.29067,1708042167283.4133
0.41216080000000005,2878313434332877.0,5314481437750054.0,935003046863634.0,1498038364154661.2,746140421.9516678,2518812613.9496074,84679007185.04,3038648438666.936
0.5204040160000001,3253565204026352.5,6008571598608493.0,1056901358741495.6,1693340775045857.5,1135863925.971898,3834443435.842313,128919094140.07874,4630371393293.641
0.6308120963200001,3596239426493477.5,6642797413967715.0,1168217047522977.2,1871687972657397.8,1585203615.2035418,5351327655.647338,179927801410.12088,6466102961181.814
0.7434283382464002,3914936091491396.5,7233018376217021.0,1271743768929759.8,2037555882314580.5,2091780528.6680484,7061434253.861878,237434893208.7086,8536045373290.917
0.8582969050113283,4215167230135373.0,7789400121773635.0,1369272073600274.0,2193813279378284.0,2654244104.8307734,8960203937.299397,301286955457.9127,10834637256203.672
0.9754628431115548,4500711000487870.5,8318911576850803.0,1462029273783158.2,2342426532741803.0,3271907620.42992,11045318426.913803,371405971781.8696,13359046640147.799
1.094972099973786,4774288221445705.0,8826572509776265.0,1550899211365001.5,2484811711686107.0,3944546215.4598494,13316018618.835327,447766378635.071,16108338335977.232
1.2168715419732616,5037934020863994.0,9316138819669638.0,1636542985561904.8,2622028012770107.0,4672275480.996725,15772694715.201588,530381274342.54694,19082974229098.48
1.3412089728127268,5293217131458210.0,9790506875651640.0,1719470189893834.2,2754891893927729.5,5455473963.2971,18416624610.150352,619293617237.5576,22284494656055.133
1.4680331522689813,5541376735869512.0,1.0251965818392858e+16,1800083365493013.5,2884048296444746.5,6294731394.270226,21249799124.228977,714570346103.9686,25715305708961.094
1.597393815314361,5783411794405530.0,1.0702362245362192e+16,1878707018691015.2,3010017136209059.5,7190812867.732238,24274801069.30688,816298311782.9994,29378532130842.94
1.729341691620648,6020141556743045.0,1.1143211765548362e+16,1955607277886642.8,3133224797451209.0,8144633360.34036,27494719235.490925,924581383686.5803,33277912731192.594
1.863928525453061,6252247846162987.0,1.1575776948466924e+16,2031005629328962.5,3254026139871152.0,9157239221.654469,30913085904.6915,1039538347799.7389,37417724430902.59
2.001207095962122,6480305397482154.0,1.200112324911511e+16,2105088772214531.8,3372720288227536.5,10229794511.331417,34533830727.314445,1161301355155.6152,41802726210500.26
