t(s),Total solute volume 1,Total retention volume 1
8.006377084067578,1.288688941551139e+16,6.9253103297986536e+16
8.506695938270958,1.2901475636507742e+16,7.302721300796984e+16
9.032030735184506,1.2914387451555846e+16,7.698795534322942e+16
9.583632271943731,1.2925839587451484e+16,8.114484917103293e+16
10.162813885540919,1.2936018699946726e+16,8.550786632802437e+16
10.770954579817966,1.294508691873949e+16,9.008745687641718e+16
11.409502308808865,1.295318500464294e+16,9.489457531517357e+16
12.079977424249309,1.2960435146550104e+16,9.99407078217578e+16
12.783976295461775,1.2966943427020332e+16,1.0523790060188278e+17
13.523175110234865,1.2972801985823852e+16,1.1079878942673402e+17
14.29933386574661,1.297809091059167e+16,1.1663663043936248e+17
15.114300559033941,1.2982879882912386e+16,1.2276533231425781e+17
15.970015586985639,1.2987229606909212e+16,1.2919948985652261e+17
16.868516366334923,1.2991193045649094e+16,1.359544191295957e+17
17.81194218465167,1.2994816488806956e+16,1.4304619420312728e+17
18.802539293884255,1.299814047294606e+16,1.504916856154396e+17
19.84266625857847,1.3001200573671962e+16,1.5830860064802736e+17
20.93479957150739,1.300402808685069e+16,1.6651552551278675e+17
22.08153955008276,1.3006650614102548e+16,1.751319695561712e+17
23.2856165275869,1.300909256593261e+16,1.8417841158820173e+17
24.549897353966244,1.301137559415764e+16,1.936763484483197e+17
25.877392221664557,1.3013518963749176e+16,2.03648345924375e+17
27.271261832747786,1.3015539872835574e+16,2.1411809214569254e+17
28.734824924385176,1.3017453728387052e+16,2.2511045357607386e+17
30.271566170604437,1.3019274384039214e+16,2.3665153373786342e+17
31.88514447913466,1.3021014345579604e+16,2.4876873480375517e+17
33.57940170309139,1.3022684948816258e+16,2.614908221989254e+17
35.35837178824596,1.302429651385356e+16,2.748479923622695e+17
37.22629037765826,1.3025858479206368e+16,2.8887194382209274e+17
39.187604896541174,1.3027379518674172e+16,3.035959517484575e+17
41.246985141368235,1.3028867643464564e+16,3.190549461516299e+17
43.40933439843665,1.3030330291686204e+16,3.352855939036125e+17
45.67980111835848,1.3031774407019076e+16,3.523263847676729e+17
48.06379117427641,1.3033206508103478e+16,3.7021772162905696e+17
50.56698073299023,1.3034632749964906e+16,3.8900201512865446e+17
53.19532976963975,1.3036058978600714e+16,4.0872378291044986e+17
55.95509625812174,1.3037490779693218e+16,4.294297537029061e+17
58.85285107102783,1.3038933522276208e+16,4.511689764641913e+17
61.895493624579224,1.3040392398066738e+16,4.7399293483131866e+17
65.0902683058082,1.3041872457074516e+16,4.9795566712374624e+17
68.44478172109861,1.3043378640018206e+16,5.231138921629521e+17
71.96702080715355,1.3044915808006746e+16,5.4952714118077894e+17
75.66537184751122,1.304648876988322e+16,5.772578961011046e+17
79.54864043988678,1.3048102307578046e+16,6.06371734491477e+17
83.62607246188112,1.3049761199773538e+16,6.369374814939203e+17
87.90737608497518,1.3051470244145736e+16,6.690273690570324e+17
92.40274488922395,1.3053234278417046e+16,7.027172028048347e+17
97.12288213368515,1.3055058200426036e+16,7.380865368915653e+17
102.07902624036942,1.3056946987398392e+16,7.752188572056988e+17
107.28297755238789,1.3058905714582782e+16,8.142017733010057e+17
112.74712643000728,1.306093957339864e+16,8.551272194472735e+17
118.48448275150766,1.3063053889229612e+16,8.980916652084992e+17
124.50870688908304,1.3065254138982624e+16,9.431963359719187e+17
130.8341422335372,1.3067545968524378e+16,9.905474438669481e+17
137.47584934521407,1.3069935210096958e+16,1.0402564295292433e+18
144.4496418124748,1.3072427899807714e+16,1.0924402151813024e+18
151.77212390309853,1.30750302952827e+16,1.14722146951747e+18
159.46073009825346,1.3077748893567884e+16,1.2047288848977654e+18
167.53376660316616,1.308059044935843e+16,1.2650974673715374e+18
176.01045493332447,1.3083561993633406e+16,1.3284688400685117e+18
184.9109776799907,1.3086670852770888e+16,1.3949915605112724e+18
194.25652656399023,1.3089924668216666e+16,1.4648214524194424e+18
204.06935289218976,1.309333141677901e+16,1.5381219525917919e+18
214.37282053679925,1.309689943162099e+16,1.6150644734679813e+18
225.19146156363922,1.310063742402233e+16,1.6958287819865562e+18
236.5510346418212,1.3104554505983188e+16,1.780603395369975e+18
248.47858637391226,1.31086602137429e+16,1.869585994480701e+18
261.00251569260786,1.311296453228861e+16,1.962983855404548e+18
274.15264147723826,1.3117477920929896e+16,2.0610142999281587e+18
287.96027355110016,1.3122211340018592e+16,2.1639051655867633e+18
302.4582872286552,1.3127176278894446e+16,2.2718952959656184e+18
317.681201590088,1.3132384707366062e+16,2.385235052375846e+18
333.6652616695924,1.3137849431524448e+16,2.504186845368576e+18
350.44852475307204,1.314358361001681e+16,2.6290256913928924e+18
368.07095099072563,1.3149601157772556e+16,2.7600397904825385e+18
386.5744985402619,1.3155916678968886e+16,2.897531128147475e+18
406.003223467275,1.316254550439259e+16,3.0418161016381824e+18
426.40338464063876,1.3169503730900352e+16,3.193226171217746e+18
447.82355387267074,1.3176808262736646e+16,3.352108537070234e+18
470.3147315663043,1.3184476854898448e+16,3.5188268424456064e+18
493.93046814461957,1.3192528158722492e+16,3.693761903605945e+18
518.7269915518506,1.3200981769855474e+16,3.8773124670940104e+18
544.7633411294431,1.3209858278764628e+16,4.069895994793139e+18
572.1015081859153,1.321917932394818e+16,4.271949477185372e+18
600.8065835952111,1.322896764801184e+16,4.483930275142167e+18
630.9469127749717,1.3239247156786244e+16,4.706316990497229e+18
662.5942584137202,1.3250042981669486e+16,4.939610365553181e+18
695.8239713344062,1.326138154539023e+16,5.184334211561136e+18
730.7151699011266,1.327329063139885e+16,5.441036366083567e+18
767.350928396183,1.3285799457106654e+16,5.710289679004098e+18
805.8184748159922,1.3298938751207086e+16,5.992693026782639e+18
846.2093985567918,1.3312740835327908e+16,6.288872354365927e+18
888.6198684846314,1.3327239710278326e+16,6.599481743953735e+18
933.150861908863,1.3342471147172914e+16,6.92520450958446e+18
979.9084050043062,1.335847278373122e+16,7.266754316240099e+18
1029.0038252545216,1.3375284226071064e+16,7.624876321876517e+18
1080.5540165172476,1.3392947156334898e+16,8.000348340458388e+18
1134.68171734311,1.3411505446508138e+16,8.393982023716132e+18
1191.5158032102656,1.3431005278813454e+16,8.806624058942281e+18
