t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1
0.1,3786533418330099.0,3803207891884101.0,16674473553999.465,0.0,0.0,0.0,0.0
0.202,5668637917226991.0,5693607327409953.0,24961415721535.855,7268225.864298286,52183610.55918932,1486077915.7570193,6448931673.126017
0.30604000000000003,7111101039287599.0,7142436474110133.0,31313213936080.188,18418840.081983805,132444022.68362027,4002385583.060136,18067638006.600334
0.41216080000000005,8332839036338089.0,8369573805882304.0,36693054930779.48,32700486.122490294,235284719.46596378,7333462161.207258,34113166069.680225
0.5204040160000001,9418441739886776.0,9459981168169156.0,41473430987516.914,49777479.18292239,358275647.1278961,11377785408.759214,54211456319.18524
0.6308120963200001,1.0410353835026358e+16,1.045628989720128e+16,45841246005699.414,69469679.51240304,500115046.43686956,16081700467.772503,78164884033.89484
0.7434283382464002,1.1333316323701832e+16,1.1383349803738612e+16,49905445826369.65,91674185.62014678,660059689.5396572,21414781166.25433,105867695368.01022
0.8582969050113283,1.2203203817315666e+16,1.2257105332736768e+16,53735933420694.62,116333074.53242734,837691210.7574463,27359664069.222023,137268312047.87906
0.9754628431115548,1.3030905474582814e+16,1.3088493567139898e+16,57380658542264.74,143417489.83407027,1032801049.655328,33907198251.925106,172350598036.25955
1.094972099973786,1.3824267651958818e+16,1.388539541966818e+16,60874172124544.11,172918824.79306003,1245326753.7692833,41053834524.58483,211123504725.98108
1.2168715419732616,1.458916232468701e+16,1.4653708750808398e+16,64242331026519.945,204843422.9783787,1475313713.3589172,48800089486.56023,253614848252.81378
1.3412089728127268,1.533011802071159e+16,1.5397982076041094e+16,67505076318435.93,239209196.9983738,1722890754.6210814,57149581205.85397,299867329897.8296
1.4680331522689813,1.6050713760136534e+16,1.6121810236670274e+16,70678167972525.75,276043371.1982098,1988253849.740071,66108393531.05707,349935870461.3358
1.597393815314361,1.6753836315474328e+16,1.682809279060633e+16,73774317693504.4,315380921.19856584,2271654857.626849,75684641068.61412,403885761657.236
1.729341691620648,1.7441854541135062e+16,1.7519209107872944e+16,76803956567867.1,357263465.638477,2573393528.4508257,85888162724.87823,461791350290.79016
1.863928525453061,1.811674122378951e+16,1.8197140756348616e+16,79775771624321.03,401738462.676722,2893811707.360338,96730300940.3485,523735083671.1633
2.001207095962122,1.8780160526615436e+16,1.886355933020011e+16,82697090888913.95,448858618.55911505,3233289068.2776437,108223739973.60715,589806808086.3329
2.1412312378813647,1.943353218361822e+16,1.9519890926235784e+16,85574166060529.28,498681447.8776182,3592239942.0301404,120382386056.54118,660103249603.7727
2.284055862638992,2.0078079566554852e+16,2.0167364422012616e+16,88412384170403.3,551268944.9913373,3971110946.3439803,133221277992.02661,734727629498.2457
2.4297369798917723,2.0714866306605804e+16,2.0807048258417216e+16,91216428843202.25,606687338.6834042,4370379216.203835,146756520382.52646,813789381287.0732
2.578331719489608,2.1344824628506436e+16,2.143987889830886e+16,93990405064452.9,665006910.3714857,4790551092.578564,161005234023.74356,897403945990.5023
2.7298983538794,2.196877757545896e+16,2.2066683149116676e+16,96737937046429.2,726301861.7221041,5232161167.435771,175985519559.38254,985692628728.9802
2.884496320956988,2.2587456658076588e+16,2.2688195889378292e+16,99462245944064.86,790650221.317111,5695771610.373756,191716431557.7285,1078782504247.1471
3.0421862473761276,2.3201516026204332e+16,2.3305074302892424e+16,102166212259590.78,858133782.681701,6181971721.398149,208217960911.7359,1176806362105.446
3.2030299723236504,2.3811543964038476e+16,2.3917909424423244e+16,104852426460496.22,928838067.8817625,6691377668.06617,225511023989.7877,1279902684538.7263
