t(s),Total solute volume 1,Total retention volume 1
0.1,3749719969724703.0,3766231474968908.0
0.20500000000000002,5670411253199499.0,5725381355682561.0
0.31525000000000003,7141759064691137.0,7258298065019153.0
0.4310125,8391049380977817.0,8590771971443240.0
0.552563125,9503044119238430.0,9807039487691314.0
0.6801912812500001,1.0519753164895352e+16,1.0949116458895698e+16
0.8142008453125001,1.1465464170779002e+16,1.204156481599062e+16
0.9549108875781251,1.2355666180449712e+16,1.310029691652706e+16
1.1026564319570316,1.3200938612785292e+16,1.413641004456561e+16
1.2577892535548831,1.400888363159152e+16,1.5158095424767366e+16
1.4206787162326273,1.4785178413799604e+16,1.6171684118431188e+16
1.5917126520442588,1.5534187607778056e+16,1.7182263102736836e+16
1.771298284646472,1.6259338271607164e+16,1.8194059516659172e+16
1.9598631988787958,1.6963359146905514e+16,1.921069175468693e+16
2.1578563588227357,1.7648439464833696e+16,2.023534010744983e+16
2.3657491767638725,1.831633890591396e+16,2.127086671999223e+16
2.5840366356020663,1.8968467453116424e+16,2.2319902491381256e+16
2.8132384673821695,1.960594633356347e+16,2.338491177013522e+16
3.053900390751278,2.022965661973922e+16,2.4468241762194116e+16
3.306595410288842,2.084027921323421e+16,2.55721611912861e+16
3.5719251808032846,2.1438328262688544e+16,2.6698891269955204e+16
3.850521439843449,2.2024179188164188e+16,2.7850631089488564e+16
4.143047511835621,2.2598092101215704e+16,2.9029578912325268e+16
4.450199887427402,2.3160231289298664e+16,3.0237950430497388e+16
4.7727098817987725,2.371068140887298e+16,3.1477994765468564e+16
5.111345375888711,2.42494610095494e+16,3.2752008783382628e+16
5.4669126446831475,2.4776533957696444e+16,3.406235015670534e+16
5.8402582769173055,2.5291819244847624e+16,3.5411449500100268e+16
6.232271190763171,2.5795199571043716e+16,3.680182183294415e+16
6.64388475030133,2.628652900208526e+16,3.8236077565001384e+16
7.076078987816397,2.676563992190905e+16,3.971693315984154e+16
7.529882937207217,2.7232349439574144e+16,4.124722159875547e+16
8.006377084067578,2.7686465363194856e+16,4.282990274347783e+16
8.506695938270958,2.8127791817530396e+16,4.446807367706491e+16
9.032030735184506,2.855613455478441e+16,4.616497908742268e+16
9.583632271943731,2.8971305987061388e+16,4.792402174626459e+16
10.162813885540919,2.9373129952159828e+16,4.97487731270125e+16
10.770954579817966,2.9761446210874096e+16,5.164298419781492e+16
11.409502308808865,3.013611466303606e+16,5.361059642011274e+16
12.079977424249309,3.049701926077934e+16,5.565575297877824e+16
12.783976295461775,3.084407159074875e+16,5.7782810266604e+16
13.523175110234865,3.1177214092120692e+16,5.999634964374379e+16
14.29933386574661,3.1496422874342452e+16,6.2301189491495896e+16
15.114300559033941,3.180171009746179e+16,6.470239757955468e+16
15.970015586985639,3.209312587884248e+16,6.720530376648592e+16
16.868516366334923,3.237075969297082e+16,6.981551305470077e+16
17.81194218465167,3.2634741235930796e+16,7.253891902356181e+16
18.802539293884255,3.288524073290632e+16,7.53817176674349e+16
19.84266625857847,3.3122468675610264e+16,7.835042166943157e+16
20.93479957150739,3.3346674986630184e+16,8.14518751462148e+16
22.08153955008276,3.355814761901664e+16,8.469326890442021e+16
23.2856165275869,3.375721061163383e+16,8.808215625492238e+16
24.549897353966244,3.394422163337964e+16,9.162646943709827e+16
25.877392221664557,3.4119569061842852e+16,9.533453671133973e+16
27.271261832747786,3.428366865373202e+16,9.921510018406746e+16
28.734824924385176,3.443695987492524e+16,1.0327733443523898e+17
30.271566170604437,3.4579901966704256e+16,1.0753086602365232e+17
31.88514447913466,3.4712969831180784e+16,1.1198579394998394e+17
33.57940170309139,3.483664982272212e+16,1.1665271116138651e+17
35.35837178824596,3.495143553308684e+16,1.2154272718444698e+17
37.22629037765826,3.5057823655904436e+16,1.2666749197533226e+17
39.187604896541174,3.515631001114053e+16,1.320392210770225e+17
41.246985141368235,3.524738580252361e+16,1.3767072217370678e+17
43.40933439843665,3.5331534170950556e+16,1.435754231317834e+17
45.67980111835848,3.540923154400736e+16,1.4976740149921725e+17
48.06379117427641,3.5480926497481012e+16,1.562614160471484e+17
50.56698073299023,3.5547065885676588e+16,1.6307293965794736e+17
53.19532976963975,3.5608073792625452e+16,1.702181941582205e+17
55.95509625812174,3.5664354585362304e+16,1.7771418707339578e+17
58.85285107102783,3.571629203758368e+16,1.8557875038042272e+17
61.895493624579224,3.5764248675026444e+16,1.9383058133280243e+17
65.0902683058082,3.5808565468461e+16,2.0248928543532026e+17
68.44478172109861,3.584956184427678e+16,2.115754216488881e+17
71.96702080715355,3.5887535972759772e+16,2.2111054990879562e+17
75.66537184751122,3.5922765292104576e+16,2.3111728104292374e+17
79.54864043988678,3.5955507226005564e+16,2.4161932918035715e+17
83.62607246188112,3.5986000053929484e+16,2.5264156674545962e+17
87.90737608497518,3.601446389562968e+16,2.6421008213776384e+17
92.40274488922395,3.6041101774823416e+16,2.763522402038899e+17
97.12288213368515,3.606610073091502e+16,2.89096745614041e+17
102.07902624036942,3.608963295192634e+16,3.024737092623116e+17
107.28297755238789,3.611185690615985e+16,3.165147178169437e+17
112.74712643000728,3.6132918454361464e+16,3.312529065537501e+17
118.48448275150766,3.615295192812883e+16,3.467230356130841e+17
124.50870688908304,3.6172081163918536e+16,3.6296156982784896e+17
130.8341422335372,3.619042048518771e+16,3.8000676227721805e+17
137.47584934521407,3.620807562792435e+16,3.978987417277895e+17
144.4496418124748,3.622514460709289e+16,4.166796041308434e+17
151.77212390309853,3.6241718523354744e+16,4.363935083513452e+17
159.46073009825346,3.6257882310864696e+16,4.5708677631098534e+17
167.53376660316616,3.627371542803419e+16,4.788079977343354e+17
176.01045493332447,3.628929249393904e+16,5.016081396936293e+17
184.9109776799907,3.630468387358815e+16,5.2554066115412915e+17
194.25652656399023,3.631995621559518e+16,5.506616327282503e+17
204.06935289218976,3.63351729459637e+16,5.770298618526924e+17
214.37282053679925,3.635039472173661e+16,6.04707023608691e+17
225.19146156363922,3.636567984820482e+16,6.337577974111076e+17
236.5510346418212,3.638108466325135e+16,6.642500097974725e+17
248.47858637391226,3.6396663892238664e+16,6.962547835530031e+17
261.00251569260786,3.641247097665173e+16,7.298466934123953e+17
274.15264147723826,3.642855837950344e+16,7.651039285831427e+17
287.96027355110016,3.644497787028972e+16,8.021084623389078e+17
302.4582872286552,3.646178079207407e+16,8.409462289343114e+17
317.681201590088,3.647901831307621e+16,8.81707308094773e+17
333.6652616695924,3.649674166494722e+16,9.244861173363187e+17
350.44852475307204,3.651500236973633e+16,9.69381612370676e+17
368.07095099072563,3.653385245738916e+16,1.0164974958500797e+18
386.5744985402619,3.655334467547063e+16,1.0659424347041253e+18
406.003223467275,3.6573532692670744e+16,1.1178302863173943e+18
426.40338464063876,3.659447129753547e+16,1.1722803337911667e+18
447.82355387267074,3.661621659375793e+16,1.2294175305253875e+18
470.3147315663043,3.663882619327486e+16,1.2893727543475638e+18
493.93046814461957,3.666235940833758e+16,1.3522830714034386e+18
518.7269915518506,3.668687744365395e+16,1.4182920100097615e+18
544.7633411294431,3.671244296851194e+16,1.4875498453325417e+18
572.1015081859153,3.673912288891843e+16,1.5602138916120005e+18
600.8065835952111,3.6766984504374264e+16,1.636448809011397e+18
630.9469127749717,3.679609855653799e+16,1.7164269182588168e+18
662.5942584137202,3.682653867698891e+16,1.8003285265213778e+18
695.8239713344062,3.685838159667895e+16,1.8883422639863322e+18
730.7151699011266,3.689170736663472e+16,1.980665431099451e+18
767.350928396183,3.692659958631717e+16,2.0775043563956554e+18
805.8184748159922,3.696314564019164e+16,2.179074764804133e+18
846.2093985567918,3.700143694348305e+16,2.2856021562458862e+18
888.6198684846314,3.704156919812815e+16,2.3973221942683387e+18
933.150861908863,3.708364265993848e+16,2.5144811043793905e+18
979.9084050043062,3.712776241798948e+16,2.637336081651096e+18
1029.0038252545216,3.717403868727095e+16,2.7661557070606966e+18
1080.5540165172476,3.722258711566773e+16,2.901220371921876e+18
1134.68171734311,3.72735291063756e+16,3.042822709633041e+18
1191.5158032102656,3.732699215690655e+16,3.1912680338284175e+18
1251.191593370779,3.738311021588756e+16,3.3468747818633953e+18
1313.851173039318,3.7442024058919544e+16,3.5099749623945656e+18
1379.6437316912838,3.750388168482142e+16,3.6809146056280494e+18
1448.725918275848,3.756883873365633e+16,3.860054214604201e+18
1521.2622141896404,3.763705892800935e+16,4.0477692156624717e+18
1597.4253248991224,3.770871453906266e+16,4.244450405986223e+18
1677.3965911440787,3.778398687909683e+16,4.4505043958609014e+18
1761.3664207012828,3.786306682213308e+16,4.666354042991376e+18
1849.534741736347,3.794615535451781e+16,4.892438875912467e+18
1942.1114788231646,3.803346415734664e+16,5.12921550319045e+18
2039.3170527643229,3.812521622271365e+16,5.377158004753481e+18
2141.382905402539,3.822164650587162e+16,5.636758301300571e+18
2248.552050672666,3.832300261547677e+16,5.908526497327626e+18
2361.0796532062996,3.842954554418988e+16,6.19299119286942e+18
2479.233635866615,3.854155044198792e+16,6.490699758591829e+18
2603.295317659946,3.865930743462534e+16,6.802218568379472e+18
2733.560083542943,3.87831224897518e+16,7.128133183050223e+18
2870.3380877200907,3.891331833325537e+16,7.469048478292962e+18
3013.9549921060952,3.905023541843446e+16,7.825588709371035e+18
3164.7527417114,3.919423295062113e+16,8.19839750456424e+18
3323.0903787969705,3.934568996986306e+16,8.588137778742e+18
3489.3448977368193,3.95050064942176e+16,8.995491557875525e+18
3663.9121426236607,3.967260472611019e+16,9.42115970471518e+18
3847.207749754844,3.984893032405255e+16,9.865861535288363e+18
4039.6681372425865,4.00344537417801e+16,1.0330334315327103e+19
4241.751544104716,4.0229671636555016e+16,1.0815332625222437e+19
4453.9391213099525,4.04351083479505e+16,1.132162758164396e+19
4676.73607737545,4.06513174478907e+16,1.1850005903573844e+19
4910.6728812442225,4.087888336201688e+16,1.2401268810205831e+19
5156.306525306434,4.111842306157971e+16,1.2976230737980213e+19
5414.221851571756,4.137058782398291e+16,1.357571786398682e+19
5685.032944150344,4.163606505878275e+16,1.4200566423110255e+19
5969.384591357861,4.191558019436599e+16,1.485162080664476e+19
6267.953820925754,4.220989861862355e+16,1.5529731430715089e+19
6581.451511972043,4.251982766468966e+16,1.6235752363748827e+19
6910.624087570645,4.284621863017013e+16,1.697053870350499e+19
7256.255291949178,4.318996881521052e+16,1.773494369582839e+19
7619.168056546638,4.355202356121144e+16,1.8529815589427237e+19
8000.22645937397,4.3933378267970216e+16,1.935599422362491e+19
8400.337782342669,4.4335080362478e+16,2.0214307349280596e+19
8820.454671459804,4.4758231187561816e+16,2.110556668697199e+19
9261.577405032795,4.520398777302758e+16,2.2030563731153875e+19
9724.756275284435,4.567356444602946e+16,2.299006531440054e+19
10211.094089048658,4.616823423112731e+16,2.3984808952077345e+19
10721.748793501092,4.668932998409835e+16,2.501549799488818e+19
11257.936233176148,4.723824519721793e+16,2.6082796624752906e+19
11820.933044834956,4.7816434407744776e+16,2.7187324738372166e+19
12412.079697076704,4.8425413136066616e+16,2.832965277260754e+19
13032.78368193054,4.906675727583758e+16,2.9510296536372326e+19
13684.522866027066,4.974210185594904e+16,3.072971212497111e+19
14368.84900932842,5.045313909383127e+16,3.1988291004559053e+19
15087.391459794842,5.120161566189721e+16,3.328635536637161e+19
15841.861032784585,5.198932909431735e+16,3.4624153862266884e+19
16634.054084423817,5.281812327002558e+16,3.6001857844520907e+19
17465.856788645007,5.368988291986783e+16,3.741955824322064e+19
