t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
0.1,919935341976466.9,1072551036543860.6,72903600131805.52,79712094435588.67,0.0,0.0,0.0,0.0
0.202,1384185099880218.2,1617435292067274.8,109694749862176.92,119939183908252.02,6207166629.448968,11642067910.440561,162863615976.9355,3435545566110.645
0.30604000000000003,1736379981333774.5,2033605910887877.5,137605705892811.6,150456754720501.0,15728409777.797346,29500032941.382412,412684094752.80804,8705556403317.748
0.41216080000000005,2033094568767038.8,2386636683824267.5,161119925537085.06,176166976238774.97,27900608415.911465,52330189004.707695,732062388840.6995,15442920095107.852
0.5204040160000001,2295527432894432.5,2701068588458690.5,181917366140165.7,198906697685627.7,42424436166.9859,79571154613.72856,1113145118187.497,23481951029493.324
0.6308120963200001,2534245101653158.5,2989125079716115.0,200835410392014.34,219591505242922.28,59135047417.96905,110913777155.50507,1551607455495.0461,32731406147952.44
0.7434283382464002,2755390074921369.0,3257910376529587.0,218360842891678.66,238753644509333.6,77934070256.92998,146173580977.36133,2044868731212.9226,43136837824763.34
0.8582969050113283,2962896810889653.5,3511976773018074.5,234805463995642.56,256734034995239.97,98761625114.59598,185238286576.7935,2591358256115.204,54665104969732.63
0.9754628431115548,3159460132375958.5,3754445654349552.0,250382834675790.7,273766182212740.5,121582512886.58614,228041905635.01132,3190152926399.5312,67296727740135.19
1.094972099973786,3347018791642892.0,3987566816664645.5,265246598360780.1,290018078408519.56,146378547247.77737,274550359895.7223,3840776040833.6787,81021643304470.7
1.2168715419732616,3527021056909604.0,4213025420611490.5,279511528298884.47,305615215547961.7,173143931954.89667,324752811119.2302,4543076012425.222,95836647099533.66
1.3412089728127268,3700581421664672.5,4432122972380326.5,293265946553764.8,320654164125674.56,201882298251.30157,378656104665.69446,5297148637841.021,111743752995463.16
1.4680331522689813,3868578402837460.0,4645890186947783.0,306579474373958.9,335211047344926.8,232604714764.7382,436281037051.925,6103284883069.019,128749091756550.03
1.597393815314361,4031718389835879.5,4855160621194270.0,319508092140586.9,349347073615799.4,265328300031.67523,497659753774.0686,6961934480779.967,146862143067413.38
1.729341691620648,4190578905152227.5,5060620530648041.0,332097567710394.4,363112285072479.8,300075225738.5929,562833879946.7905,7873679779322.173,166095183827923.6
1.863928525453061,4345638840720930.5,5262843694478204.0,344385852605166.0,376548177543718.94,336871982904.5904,631853144108.3026,8839216490788.76,186462881990585.8
2.001207095962122,4497300157100505.0,5462316393379474.0,356404801641819.9,389689580779826.7,375748830632.9425,704774344448.3556,9859339229362.324,207981991452878.8
2.1412312378813647,4645903814305390.0,5659455737995359.0,368181435428735.6,402566038854008.9,416739375044.67804,781660559204.7336,10934930465420.41,230671119007565.22
2.284055862638992,4791741701583213.0,5854623387858526.0,379738885784063.1,415202843873659.2,459880243194.32544,862580535209.239,12066951971839.732,254550543867365.22
2.4297369798917723,4935065727723342.0,6048136000992228.0,391097116130074.0,427621823652597.94,505210827686.70654,947608209042.7937,13256438125418.992,279642076324076.6
2.578331719489608,5076094855215821.0,6240273317458232.0,402273478940495.06,439841951218633.25,552773084856.6539,1036822328656.5204,14504490613759.47,305968946056002.56
2.7298983538794,5215020618603927.0,6431284499644904.0,413283153062307.75,451879822977004.06,602611374168.1249,1130306152308.0825,15812274223740.701,333555713251430.2
2.884496320956988,5352011507360715.0,6621393167448397.0,424139491052627.25,463750038485183.9,654772329781.3462,1228147207837.313,17181013474108.393,362428197538150.0
3.0421862473761276,5487216485871501.0,6810801442220352.0,434854298132445.9,475465505458217.06,709304757543.3171,1330437099631.4,18611989915214.027,392613420985790.5
3.2030299723236504,5620767849089344.0,6999693228019787.0,445438058493354.8,487037687210312.25,766259552302.6075,1437271353716.4421,20106539962123.535,424139562358643.8
3.3670905717701234,5752783560660501.0,7188236899045078.0,455900120590757.7,498476805252659.9,825689631642.941,1548749293650.6616,21666053158628.336,457035920457252.25
3.5344323832055258,5883369183512930.0,7376587519722041.0,466248850140329.1,509792006578287.4,887649883008.3329,1664973941541.9053,23291970792734.902,491332884873199.56
3.7051210308696363,6012619486340152.0,7564888693340373.0,476491757429623.2,520991502863344.8,952197121847.8536,1786051939741.129,24985784801405.98,527061912844260.25
3.879223451487029,6140619789983320.0,7753274112765893.0,486635604017004.56,532082687130692.25,1019390058902.9281,1912093489691.5867,26749036915306.727,564255511170972.5
4.0568079205167695,6267447103322392.0,7941868870195690.0,496686492749431.44,543072232174477.3,1089289275138.128,2043212305122.5618,28583318004230.29,602947222364897.0
4.237944078927105,6393171087500109.0,8130790570518187.0,506649944175877.7,553966174109831.75,1161957203108.1194,2179525577323.7275,30490267591530.965,643171614360403.2
4.422702960505647,6517854879134304.0,8320150283447933.0,516530961785764.6,564769983703952.4,1237458113780.915,2321153950662.551,32471573511862.297,684964273247600.9
4.61115701971576,6641555796923321.0,8510053362422187.0,526334088006463.56,575488627603222.8,1315858108016.4043,2468221506842.9307,34528971691206.5,728361798583114.1
4.803380160110075,6764325951224730.0,8700600152703778.0,536063452511556.56,586126621153006.2,1397225112040.9172,2620855756669.029,36664246031908.38,773401800913856.4
4.9994477633122765,6886212772428939.0,8891886606818560.0,545722814093720.9,596688074181055.5,1481628876372.0854,2779187638291.093,38879228388398.21,820122901211780.2
5.199436718578522,7007259470999738.0,9084004822070496.0,555315597122300.0,607176730859863.9,1569140977739.5042,2943351521081.41,41175798621686.67,868564731968062.2
5.403425452950093,7127505439719657.0,9277043512198402.0,564844923420689.2,617596004561104.1,1659834823620.8223,3113485214427.353,43555884722658.95,918767939736256.0
5.611493962009095,7246986606819009.0,9471088423107572.0,574313640251330.8,627949008454131.8,1753785659073.3574,3289729980841.929,46021462995779.72,970774188947392.6
5.823723841249277,7365735747176595.0,9666222700898046.0,583724344977918.1,638238582471431.6,1851070575591.0093,3472230552885.817,48574558296129.83,1024626166847497.8
6.040198318074262,7483782757576165.0,9862527219034594.0,593079406879116.2,648467317159498.2,1951768521757.3936,3661135153471.353,51217244313769.03,1080367589430814.6
6.261002284435747,7601154901026634.0,1.0060080870382214e+16,602380986510586.5,658637574849105.0,2055960315500.2915,3856595519183.7803,53951643900319.29,1138043208260868.0
6.486222330124463,7717877024355569.0,1.0258960828919102e+16,611631052948957.0,668751508509703.5,2163728657781.0503,4058766926308.081,56779929433414.12,1197698818087383.0
6.715946776726952,7833971752630952.0,1.0459242785189028e+16,620831399199498.9,678811078596006.2,2275158147576.7715,4267808219295.5264,59704323215288.86,1259381265180400.2
6.950265712261491,7949459663426568.0,1.0661001158937004e+16,629983656006400.8,688818068148022.4,2390335298033.299,4483881841441.486,62727097902324.69,1323138456314194.2
7.18927102650672,8064359443497783.0,1.0864309291861032e+16,639089304269121.4,698774096366978.2,2509348553684.505,4707153867579.398,65850576962809.67,1389019368343086.5
7.433056447036854,8178688030062349.0,1.1069239622985834e+16,648149686238684.0,708680630857231.9,2632288308648.066,4937794038622.948,69077135160572.195,1457074058319704.2
7.681717575977592,8292460738568436.0,1.1275863848807892e+16,657166015643118.6,718538998697337.4,2759246925720.7983,5175975797812.804,72409199062478.77,1527353674112992.0
7.935351927497144,8405691378570285.0,1.1484253070063852e+16,666139386870454.1,728350396480640.0,2890318756307.439,5421876328544.779,75849247568070.23,1599910465489564.5
8.194058966047088,8518392359111137.0,1.1694477926719958e+16,675070783320166.9,738115899446666.9,3025600161126.5684,5675676593674.354,79399812459870.78,1674797795627300.2
8.45794014536803,8630574784825898.0,1.1906608722569046e+16,683961085019170.9,747836469808390.9,3165189531645.5874,5937561376208.241,83063478973119.66,1752070153034626.5
8.72709894827539,8742248543816811.0,1.212071554063974e+16,692811075585865.0,757512964366623.2,3309187312204.1753,6207719321307.488,86842886383872.61,1831783163853067.2
9.0016409272409,8853422388220697.0,1.2336868350467996e+16,701621448614955.6,767146141491151.5,3457696022791.984,6486342979539.055,90740728614584.17,1913993604524292.5
9.281673745785717,8964104008269532.0,1.2555137108150572e+16,710392813546669.2,776736667538057.8,3610820282452.2827,6773628851323.308,94759754856446.34,1998759414806087.8
9.567307220701432,9074300100547250.0,1.2775591849985536e+16,719125701075996.0,786285122764142.5,3768666833288.514,7069777432535.083,98902770207886.34,2086139711124432.5
9.85865336511546,9184016431059678.0,1.2998302780409244e+16,727820568150899.0,795792006791917.6,3931344565055.1406,7374993261224.728,103172636328751.77,2176194800251688.0
