t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,370.0000000000007,-4.9519294955813134e+19,0.0,263097895700897.16,4.1198969170747996e+18,325252447018579.06,1.1719222579953964e+18,1.0518799206442038e+18,8.62197581844245e+17,7.380777187486957e+17,2.9523108749953805e+17
1.9090909090909092,370.0000000000007,-5.142819447717387e+19,0.0,402062039205829.44,6.129871527197903e+18,477256253768519.56,1.7209208246356147e+18,1.5446627284219858e+18,1.2661183796999944e+18,1.1409216258194556e+18,4.5636865032787936e+17
2.7355371900826446,370.0000000000007,-5.2021181950142554e+19,0.0,506645367200649.2,7.467028499653138e+18,578481125425759.4,2.084202223220657e+18,1.870726415311148e+18,1.5333839744335035e+18,1.4125934001393452e+18,5.65037360055859e+17
3.4868519909842224,370.0000000000007,-5.227969389847654e+19,0.0,586878301497362.9,8.48838663786893e+18,655991586876468.5,2.361984310436311e+18,2.1200469784389169e+18,1.7377452992134525e+18,1.6195479856369556e+18,6.47819194254922e+17
4.313298271975958,370.0000000000007,-5.244454654397304e+19,0.0,660743060373519.9,9.475622757092987e+18,730585208444568.1,2.6309210998385403e+18,2.3614447924998564e+18,1.9356125860408783e+18,1.8187521074605248e+18,7.275008429843692e+17
5.222389181066867,370.0000000000007,-5.256606224943806e+19,0.0,731932381108677.9,1.0451097236238703e+19,803901741824384.5,2.896920579289624e+18,2.6002246149903713e+18,2.1313340045057362e+18,2.0150587166641848e+18,8.060234866658538e+17
6.222389181066867,370.0000000000007,-5.2662961577578e+19,0.0,802468436052575.0,1.1427203090879316e+19,876989224317386.6,3.1632197366469903e+18,2.839287838662596e+18,2.327287741720091e+18,2.2112345115636173e+18,8.844938046256497e+17
7.3223891810668675,370.0000000000007,-5.274367327421738e+19,0.0,873434305394189.5,1.2412119679423136e+19,950571957645146.8,3.431976692452957e+18,3.080567488054206e+18,2.5250582394745866e+18,2.4090666094129413e+18,9.636266437654038e+17
8.532389181066868,370.0000000000007,-5.281267953641693e+19,0.0,945435475347513.2,1.3412013162146871e+19,1025172744692940.9,3.7048449752320794e+18,3.325545541475661e+18,2.725860232021935e+18,2.6098512894263603e+18,1.043940515770796e+18
9.863389181066868,370.0000000000007,-5.287272627389733e+19,0.0,1018870621899358.9,1.443195641640748e+19,1101195083532515.0,3.9831987496273096e+18,3.5754547772904064e+18,2.9307041935487754e+18,2.814627593025195e+18,1.1258510372103572e+18
11.327489181066868,370.0000000000007,-5.292567478414041e+19,0.0,1094058481209814.4,1.5476354549281202e+19,1178975344466605.2,4.268235924023486e+18,3.8313705812075034e+18,3.140471588991071e+18,3.024288158023686e+18,1.2097152632097815e+18
12.93799918106687,370.0000000000007,-5.297286397284703e+19,0.0,1171283176232022.2,1.6549176169050616e+19,1258811408302013.8,4.5610369639812285e+18,4.0942632715475103e+18,3.3559577629224407e+18,3.239634340010405e+18,1.2958537360044997e+18
14.70956018106687,370.0000000000007,-5.301529127529065e+19,0.0,1250808814159047.5,1.7654099653896595e+19,1340977718741308.5,4.862603708573739e+18,4.365032751384617e+18,3.5779003426874936e+18,3.4614079033696256e+18,1.3845631613482194e+18
16.658277281066873,370.0000000000007,-5.305371854415496e+19,0.0,1332886289490562.5,1.8794613884056154e+19,1425733919212433.2,5.173886580690029e+18,4.644532876058712e+18,3.8069992117076055e+18,3.690311853850501e+18,1.4761247415406019e+18
18.801866091066874,370.0000000000007,-5.30887398362128e+19,0.0,1417758200380974.0,1.99740907061996e+19,1513330532839332.8,5.495804271627156e+18,4.933589111466946e+18,4.0439309834908667e+18,3.927025179200698e+18,1.5708100716807165e+18
21.159813782066877,370.0000000000007,-5.312082669541641e+19,0.0,1505662672441984.2,2.1195838806717637e+19,1604013073107186.0,5.829258397140302e+18,5.233011692529368e+18,4.289359787277576e+18,4.172213752874546e+18,1.6688855011502945e+18
23.75355624216688,370.0000000000007,-5.315035927939833e+19,0.0,1596836291015860.8,2.2463145040093966e+19,1698025169391144.2,6.175144739937418e+18,5.543605722690446e+18,4.5439455463432724e+18,4.426538692615649e+18,1.770615477046775e+18
26.111503933166883,370.0000000000007,-5.317448109453344e+19,0.0,1679717387353540.5,2.355835227490164e+19,1780526721260421.8,6.473880302031773e+18,5.811801972617869e+18,4.763778869614333e+18,4.646736347520362e+18,1.8586945390086897e+18
28.705246393266886,370.0000000000007,-5.319671744187752e+19,0.0,1764234416514859.5,2.4705393751520174e+19,1866543999278223.5,6.786819581127859e+18,6.092762119363012e+18,4.994074438055721e+18,4.877219167540872e+18,1.9508876670169247e+18
