t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1
4.803380160110075,771406672323006.0,3.1923012121214843e+18,3396779690925.425,4460340276854883.5,3.246307506054433e+16,7.676206979052914e+17,2.38698229542678e+18
4.9994477633122765,771432261955333.0,3.3240250729634135e+18,3396892377508.593,4642235200061645.0,3.3808030900174132e+16,7.996459399993422e+17,2.4851540377095055e+18
5.199436718578522,771456379857626.8,3.4582475049835684e+18,3396998583155.208,4827427517921969.0,3.5179098921058456e+16,8.322958423604925e+17,2.5851702828056566e+18
5.403425452950093,771479150294527.2,3.5950131935687654e+18,3397098855078.9834,5015970087646605.0,3.657677007090962e+16,8.655822688906523e+17,2.687063308270407e+18
5.611493962009095,771500684115785.2,3.7343675142313887e+18,3397193681419.585,5207916333860332.0,3.8001543880174504e+16,8.995172956228005e+17,2.7908658605167565e+18
5.823723841249277,771521080524973.0,3.876356538945926e+18,3397283499031.3315,5403320242480710.0,3.9453928585651384e+16,9.341132140081426e+17,2.896611157745628e+18
6.040198318074262,771540428575721.8,4.0210270423366446e+18,3397368700072.096,5602236353897807.0,4.093444125472467e+16,9.693825342278143e+17,3.0043328927029315e+18
6.261002284435747,771558808443254.9,4.168426507706382e+18,3397449637602.6226,5804719755425613.0,4.244360791016442e+16,1.0053379885288398e+18,3.1140652352538706e+18
6.486222330124463,771576292509621.2,4.31860313289555e+18,3397526630365.495,6010826072994682.0,4.398196365543369e+16,1.0419925345838867e+18,3.2258428347640945e+18
6.715946776726952,771592946293733.0,4.4716058359599693e+18,3397599966880.665,6220611462054906.0,4.5550052800443304e+16,1.0793593588741919e+18,3.3397008222770196e+18
6.950265712261491,771608829251489.4,4.6274842606555e+18,3397669908968.9062,6434132597656279.0,4.7148428987688904e+16,1.1174518800948961e+18,3.455674812476097e+18
7.18927102650672,771623995466704.5,4.78628878171676e+18,3397736694794.3706,6651446663674649.0,4.877765531870141e+16,1.156283752581872e+18,3.5738009054203505e+18
7.433056447036854,771638494249824.1,4.948070509916831e+18,3397800541501.1284,6872611341148720.0,5.043830448073716e+16,1.195868869759021e+18,3.6941156880411305e+18
7.681717575977592,771652370658497.1,5.112881296893996e+18,3397861647505.571,7097684795693429.0,5.2130958873630824e+16,1.2362213676049152e+18,3.8166562353874473e+18
7.935351927497144,771665665951650.4,5.280773739731234e+18,3397920194495.9644,7326725663954215.0,5.3856210736727864e+16,1.2773556281374845e+18,3.941460111606921e+18
8.194058966047088,771678417986779.8,5.451801185273489e+18,3397976349181.9697,7559793039065732.0,5.56146622758105e+16,1.319286282915421e+18,4.0685653706488586e+18
8.45794014536803,771690661568569.1,5.626017734167098e+18,3398030264829.851,7796946455077623.0,5.740692578992469e+16,1.3620282165547663e+18,4.1980105566754934e+18
8.72709894827539,771702428755677.9,5.803478244605318e+18,3398082082613.42,8038245870309330.0,5.923362379801201e+16,1.4055965702591324e+18,4.329834704167026e+18
9.0016409272409,771713749131431.9,5.984238335763252e+18,3398131932806.073,8283751649594856.0,6.1095389165243944e+16,1.4500067453617884e+18,4.4640773377055596e+18
9.281673745785717,771724650043289.6,6.168354390904769e+18,3398179935835.3066,8533524545377784.0,6.299286522895141e+16,1.4952744068778307e+18,4.600778471422625e+18
9.567307220701432,771735156815214.2,6.355883560143599e+18,3398226203217.913,8787625677615891.0,6.4926705924036936e+16,1.5414154870644575e+18,4.739978608094468e+18
9.85865336511546,771745292936464.0,6.546883762840057e+18,3398270838391.3535,9046116512454076.0,6.689757590775026e+16,1.588446188987283e+18,4.881718737868792e+18
10.155826432417769,771755080229815.6,6.741413689614295e+18,3398313937454.531,9309058839623356.0,6.890615068370325e+16,1.6363829900904983e+18,5.0260403366063e+18
10.458942961066125,771764539001782.9,6.939532803956274e+18,3398355589829.326,9576514748523190.0,7.0953116724992984e+16,1.6852426457685501e+18,5.172985363819619e+18
10.768121820287448,771773688177062.2,7.141301343412261e+18,3398395878852.61,9848546602943486.0,7.303917159629613e+16,1.735042192936886e+18,5.32259626019208e+18
11.083484256693197,771782545419094.1,7.346780320326688e+18,3398434882307.1724,1.0125217014382062e+16,7.516502407479094e+16,1.7857989535991537e+18,5.474915944658058e+18
11.405153941827061,771791127238409.6,7.556031522117892e+18,3398472672898.827,1.040658881391272e+16,7.733139426975507e+16,1.837530538408137e+18,5.62998781102617e+18
11.733257020663602,771799449090172.0,7.769117511065487e+18,3398509318685.956,1.0692725022558408e+16,7.953901374068349e+16,1.8902548502175276e+18,5.787855724126303e+18
12.067922161076874,771807525462174.4,7.986101623586449e+18,3398544883466.9995,1.0983688820123532e+16,8.178862561375928e+16,1.9439900876215153e+18,5.948564015460702e+18
12.409280604298411,771815369954354.4,8.207047968976458e+18,3398579427130.644,1.127954351243873e+16,8.408098469650682e+16,1.9987547484789798e+18,6.112157478339148e+18
12.75746621638438,771822995350795.4,8.432021427592322e+18,3398613005972.8438,1.1580352496971334e+16,8.641685759044478e+16,2.0545676334189622e+18,6.278681362477585e+18
13.112615540712067,771830413685012.1,8.661087648450756e+18,3398645672984.3394,1.188617922675401e+16,8.879702280155226e+16,2.11144784932386e+18,6.448181368039233e+18
13.474867851526309,771837636299270.0,8.89431304621801e+18,3398677478111.88,1.219708717258396e+16,9.122227084834986e+16,2.1694148127866806e+18,6.620703639096619e+18
13.844365208556836,771844692544205.9,9.131765168685245e+18,3398708550604.1533,1.2513140086534472e+16,9.3693406799292e+16,2.2284885158087473e+18,6.79629486258958e+18
14.221252512727972,771851556167487.0,9.373511231003177e+18,3398738774856.0474,1.2834400771318626e+16,9.62112408316964e+16,2.2886885283013315e+18,6.97500181080389e+18
