"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
5.8467e+23,1,0.000252,0.000252,0,0
5.778e+23,1,0.000254,0.000254,0,0
5.7028e+23,1,0.000256,0.000256,0,0
5.6197e+23,1,0.000258,0.000258,0,0
5.5274e+23,1,0.00026,0.00026,0,0
5.4238e+23,1,0.000262,0.000262,0,0
5.3066e+23,1,0.000264,0.000264,0,0
5.1727e+23,1,0.000266,0.000266,0,0
5.0184e+23,1,0.000268,0.000268,0,0
4.8386e+23,1,0.00027,0.00027,0,0
4.6272e+23,1,0.000272,0.000272,0,0
4.3763e+23,1,0.000274,0.000274,0,0
4.0758e+23,1,0.000276,0.000276,0,0
3.7124e+23,1,0.000278,0.000278,0,0
3.2638e+23,1,0.00028,0.00028,0,0
2.6728e+23,1,0.000282,0.000282,0,0
1.7593e+23,1,0.000284,0.000284,0,0
5.7865e+22,1,0.000286,0.000286,0,0
8.7527e+21,1,0.000288,0.000288,0,0
1.0742e+21,1,0.00029,0.00029,0,0
1.3066e+20,1,0.000292,0.000292,0,0
1.6152e+19,1,0.000294,0.000294,0,0
2.0923e+18,1,0.000296,0.000296,0,0
3.3913e+17,1,0.000298,0.000298,0,0
1.0928e+17,1,0.0003,0.0003,0,0
7.0826e+16,1,0.000302,0.000302,0,0
5.7909e+16,1,0.000304,0.000304,0,0
4.9522e+16,1,0.000306,0.000306,0,0
4.2784e+16,1,0.000308,0.000308,0,0
3.7133e+16,1,0.00031,0.00031,0,0
3.2342e+16,1,0.000312,0.000312,0,0
2.8255e+16,1,0.000314,0.000314,0,0
2.4754e+16,1,0.000316,0.000316,0,0
2.1743e+16,1,0.000318,0.000318,0,0
1.9142e+16,1,0.00032,0.00032,0,0
1.6888e+16,1,0.000322,0.000322,0,0
1.4929e+16,1,0.000324,0.000324,0,0
1.3222e+16,1,0.000326,0.000326,0,0
1.1729e+16,1,0.000328,0.000328,0,0
1.0421e+16,1,0.00033,0.00033,0,0
9.2718e+15,1,0.000332,0.000332,0,0
8.2606e+15,1,0.000334,0.000334,0,0
7.3687e+15,1,0.000336,0.000336,0,0
6.5807e+15,1,0.000338,0.000338,0,0
5.8832e+15,1,0.00034,0.00034,0,0
5.265e+15,1,0.000342,0.000342,0,0
4.7161e+15,1,0.000344,0.000344,0,0
4.2281e+15,1,0.000346,0.000346,0,0
3.7938e+15,1,0.000348,0.000348,0,0
3.4066e+15,1,0.00035,0.00035,0,0
3.0612e+15,1,0.000352,0.000352,0,0
2.7526e+15,1,0.000354,0.000354,0,0
2.4767e+15,1,0.000356,0.000356,0,0
2.2298e+15,1,0.000358,0.000358,0,0
2.0086e+15,1,0.00036,0.00036,0,0
1.8103e+15,1,0.000362,0.000362,0,0
1.6324e+15,1,0.000364,0.000364,0,0
1.4727e+15,1,0.000366,0.000366,0,0
1.3292e+15,1,0.000368,0.000368,0,0
1.2001e+15,1,0.00037,0.00037,0,0
1.084e+15,1,0.000372,0.000372,0,0
9.7952e+14,1,0.000374,0.000374,0,0
8.854e+14,1,0.000376,0.000376,0,0
8.0058e+14,1,0.000378,0.000378,0,0
7.2411e+14,1,0.00038,0.00038,0,0
6.5513e+14,1,0.000382,0.000382,0,0
5.9289e+14,1,0.000384,0.000384,0,0
5.3669e+14,1,0.000386,0.000386,0,0
4.8594e+14,1,0.000388,0.000388,0,0
4.401e+14,1,0.00039,0.00039,0,0
3.9866e+14,1,0.000392,0.000392,0,0
3.612e+14,1,0.000394,0.000394,0,0
3.2732e+14,1,0.000396,0.000396,0,0
2.9667e+14,1,0.000398,0.000398,0,0
2.6894e+14,1,0.0004,0.0004,0,0
2.4384e+14,1,0.000402,0.000402,0,0
2.2111e+14,1,0.000404,0.000404,0,0
2.0054e+14,1,0.000406,0.000406,0,0
1.819e+14,1,0.000408,0.000408,0,0
1.6501e+14,1,0.00041,0.00041,0,0
1.4971e+14,1,0.000412,0.000412,0,0
1.3584e+14,1,0.000414,0.000414,0,0
1.2327e+14,1,0.000416,0.000416,0,0
1.1188e+14,1,0.000418,0.000418,0,0
1.0155e+14,1,0.00042,0.00042,0,0
9.2176e+13,1,0.000422,0.000422,0,0
8.3676e+13,1,0.000424,0.000424,0,0
7.5967e+13,1,0.000426,0.000426,0,0
6.8972e+13,1,0.000428,0.000428,0,0
6.2625e+13,1,0.00043,0.00043,0,0
5.6866e+13,1,0.000432,0.000432,0,0
5.1639e+13,1,0.000434,0.000434,0,0
4.6895e+13,1,0.000436,0.000436,0,0
4.2589e+13,1,0.000438,0.000438,0,0
3.868e+13,1,0.00044,0.00044,0,0
3.5131e+13,1,0.000442,0.000442,0,0
3.1909e+13,1,0.000444,0.000444,0,0
2.8983e+13,1,0.000446,0.000446,0,0
2.6326e+13,1,0.000448,0.000448,0,0
2.3914e+13,1,0.00045,0.00045,0,0
2.1723e+13,1,0.000452,0.000452,0,0
1.9733e+13,1,0.000454,0.000454,0,0
1.7926e+13,1,0.000456,0.000456,0,0
1.6284e+13,1,0.000458,0.000458,0,0
1.4793e+13,1,0.00046,0.00046,0,0
1.3439e+13,1,0.000462,0.000462,0,0
1.2209e+13,1,0.000464,0.000464,0,0
1.1091e+13,1,0.000466,0.000466,0,0
1.0076e+13,1,0.000468,0.000468,0,0
9.1538e+12,1,0.00047,0.00047,0,0
8.3159e+12,1,0.000472,0.000472,0,0
7.5547e+12,1,0.000474,0.000474,0,0
6.8632e+12,1,0.000476,0.000476,0,0
6.2349e+12,1,0.000478,0.000478,0,0
5.6641e+12,1,0.00048,0.00048,0,0
5.1455e+12,1,0.000482,0.000482,0,0
4.6743e+12,1,0.000484,0.000484,0,0
4.2463e+12,1,0.000486,0.000486,0,0
3.8574e+12,1,0.000488,0.000488,0,0
3.504e+12,1,0.00049,0.00049,0,0
3.183e+12,1,0.000492,0.000492,0,0
2.8913e+12,1,0.000494,0.000494,0,0
2.6263e+12,1,0.000496,0.000496,0,0
2.3856e+12,1,0.000498,0.000498,0,0
2.1669e+12,1,0.0005,0.0005,0,0
1.9682e+12,1,0.000502,0.000502,0,0
1.7876e+12,1,0.000504,0.000504,0,0
1.6236e+12,1,0.000506,0.000506,0,0
1.4746e+12,1,0.000508,0.000508,0,0
1.3393e+12,1,0.00051,0.00051,0,0
1.2163e+12,1,0.000512,0.000512,0,0
1.1046e+12,1,0.000514,0.000514,0,0
1.0032e+12,1,0.000516,0.000516,0,0
9.1099e+11,1,0.000518,0.000518,0,0
8.2726e+11,1,0.00052,0.00052,0,0
7.512e+11,1,0.000522,0.000522,0,0
6.8212e+11,1,0.000524,0.000524,0,0
6.1937e+11,1,0.000526,0.000526,0,0
5.6238e+11,1,0.000528,0.000528,0,0
5.1061e+11,1,0.00053,0.00053,0,0
4.636e+11,1,0.000532,0.000532,0,0
4.209e+11,1,0.000534,0.000534,0,0
3.8212e+11,1,0.000536,0.000536,0,0
3.469e+11,1,0.000538,0.000538,0,0
3.1492e+11,1,0.00054,0.00054,0,0
2.8587e+11,1,0.000542,0.000542,0,0
2.595e+11,1,0.000544,0.000544,0,0
2.3555e+11,1,0.000546,0.000546,0,0
2.138e+11,1,0.000548,0.000548,0,0
1.9406e+11,1,0.00055,0.00055,0,0
1.7613e+11,1,0.000552,0.000552,0,0
1.5985e+11,1,0.000554,0.000554,0,0
1.4507e+11,1,0.000556,0.000556,0,0
1.3165e+11,1,0.000558,0.000558,0,0
1.1947e+11,1,0.00056,0.00056,0,0
1.0841e+11,1,0.000562,0.000562,0,0
9.8376e+10,1,0.000564,0.000564,0,0
8.9264e+10,1,0.000566,0.000566,0,0
8.0993e+10,1,0.000568,0.000568,0,0
7.3485e+10,1,0.00057,0.00057,0,0
6.6671e+10,1,0.000572,0.000572,0,0
6.0486e+10,1,0.000574,0.000574,0,0
5.4873e+10,1,0.000576,0.000576,0,0
4.9779e+10,1,0.000578,0.000578,0,0
4.5156e+10,1,0.00058,0.00058,0,0
4.096e+10,1,0.000582,0.000582,0,0
3.7153e+10,1,0.000584,0.000584,0,0
3.3699e+10,1,0.000586,0.000586,0,0
3.0564e+10,1,0.000588,0.000588,0,0
2.772e+10,1,0.00059,0.00059,0,0
2.514e+10,1,0.000592,0.000592,0,0
2.2799e+10,1,0.000594,0.000594,0,0
2.0675e+10,1,0.000596,0.000596,0,0
1.8748e+10,1,0.000598,0.000598,0,0
1.7e+10,1,0.0006,0.0006,0,0
1.5414e+10,1,0.000602,0.000602,0,0
1.3976e+10,1,0.000604,0.000604,0,0
1.2672e+10,1,0.000606,0.000606,0,0
1.1488e+10,1,0.000608,0.000608,0,0
1.0415e+10,1,0.00061,0.00061,0,0
9.4418e+09,1,0.000612,0.000612,0,0
8.5591e+09,1,0.000614,0.000614,0,0
7.7586e+09,1,0.000616,0.000616,0,0
7.0327e+09,1,0.000618,0.000618,0,0
6.3744e+09,1,0.00062,0.00062,0,0
5.7775e+09,1,0.000622,0.000622,0,0
5.2363e+09,1,0.000624,0.000624,0,0
4.7456e+09,1,0.000626,0.000626,0,0
4.3008e+09,1,0.000628,0.000628,0,0
3.8974e+09,1,0.00063,0.00063,0,0
3.5318e+09,1,0.000632,0.000632,0,0
3.2003e+09,1,0.000634,0.000634,0,0
2.8998e+09,1,0.000636,0.000636,0,0
2.6274e+09,1,0.000638,0.000638,0,0
2.3805e+09,1,0.00064,0.00064,0,0
2.1567e+09,1,0.000642,0.000642,0,0
1.9539e+09,1,0.000644,0.000644,0,0
1.7701e+09,1,0.000646,0.000646,0,0
1.6035e+09,1,0.000648,0.000648,0,0
1.4525e+09,1,0.00065,0.00065,0,0
1.3157e+09,1,0.000652,0.000652,0,0
1.1918e+09,1,0.000654,0.000654,0,0
1.0794e+09,1,0.000656,0.000656,0,0
9.7765e+08,1,0.000658,0.000658,0,0
8.8543e+08,1,0.00066,0.00066,0,0
8.0187e+08,1,0.000662,0.000662,0,0
7.2617e+08,1,0.000664,0.000664,0,0
6.576e+08,1,0.000666,0.000666,0,0
5.9547e+08,1,0.000668,0.000668,0,0
5.3919e+08,1,0.00067,0.00067,0,0
4.8821e+08,1,0.000672,0.000672,0,0
4.4204e+08,1,0.000674,0.000674,0,0
4.0021e+08,1,0.000676,0.000676,0,0
3.6233e+08,1,0.000678,0.000678,0,0
3.2803e+08,1,0.00068,0.00068,0,0
2.9695e+08,1,0.000682,0.000682,0,0
2.6882e+08,1,0.000684,0.000684,0,0
2.4333e+08,1,0.000686,0.000686,0,0
2.2026e+08,1,0.000688,0.000688,0,0
1.9937e+08,1,0.00069,0.00069,0,0
1.8045e+08,1,0.000692,0.000692,0,0
1.6332e+08,1,0.000694,0.000694,0,0
1.4781e+08,1,0.000696,0.000696,0,0
1.3376e+08,1,0.000698,0.000698,0,0
1.2105e+08,1,0.0007,0.0007,0,0
1.0954e+08,1,0.000702,0.000702,0,0
9.9126e+07,1,0.000704,0.000704,0,0
8.9696e+07,1,0.000706,0.000706,0,0
8.1159e+07,1,0.000708,0.000708,0,0
7.3432e+07,1,0.00071,0.00071,0,0
6.6439e+07,1,0.000712,0.000712,0,0
6.0109e+07,1,0.000714,0.000714,0,0
5.438e+07,1,0.000716,0.000716,0,0
4.9196e+07,1,0.000718,0.000718,0,0
4.4504e+07,1,0.00072,0.00072,0,0
4.0258e+07,1,0.000722,0.000722,0,0
3.6415e+07,1,0.000724,0.000724,0,0
3.2939e+07,1,0.000726,0.000726,0,0
2.9793e+07,1,0.000728,0.000728,0,0
2.6947e+07,1,0.00073,0.00073,0,0
2.4371e+07,1,0.000732,0.000732,0,0
2.2041e+07,1,0.000734,0.000734,0,0
1.9933e+07,1,0.000736,0.000736,0,0
1.8026e+07,1,0.000738,0.000738,0,0
1.6301e+07,1,0.00074,0.00074,0,0
1.4741e+07,1,0.000742,0.000742,0,0
1.3329e+07,1,0.000744,0.000744,0,0
1.2052e+07,1,0.000746,0.000746,0,0
1.0897e+07,1,0.000748,0.000748,0,0
9.8525e+06,1,0.00075,0.00075,0,0
8.9077e+06,1,0.000752,0.000752,0,0
8.0532e+06,1,0.000754,0.000754,0,0
7.2805e+06,1,0.000756,0.000756,0,0
6.5817e+06,1,0.000758,0.000758,0,0
5.9497e+06,1,0.00076,0.00076,0,0
5.3782e+06,1,0.000762,0.000762,0,0
4.8615e+06,1,0.000764,0.000764,0,0
