"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.7877e+21,1,0.000252,0.000252,0,0
7.7875e+21,1,0.000254,0.000254,0,0
7.7872e+21,1,0.000256,0.000256,0,0
7.787e+21,1,0.000258,0.000258,0,0
7.7867e+21,1,0.00026,0.00026,0,0
7.7864e+21,1,0.000262,0.000262,0,0
7.7862e+21,1,0.000264,0.000264,0,0
7.7859e+21,1,0.000266,0.000266,0,0
7.7857e+21,1,0.000268,0.000268,0,0
7.7854e+21,1,0.00027,0.00027,0,0
7.7852e+21,1,0.000272,0.000272,0,0
7.7849e+21,1,0.000274,0.000274,0,0
7.7847e+21,1,0.000276,0.000276,0,0
7.7844e+21,1,0.000278,0.000278,0,0
7.7841e+21,1,0.00028,0.00028,0,0
7.7839e+21,1,0.000282,0.000282,0,0
7.7836e+21,1,0.000284,0.000284,0,0
7.7834e+21,1,0.000286,0.000286,0,0
7.7831e+21,1,0.000288,0.000288,0,0
7.7829e+21,1,0.00029,0.00029,0,0
7.7826e+21,1,0.000292,0.000292,0,0
7.7824e+21,1,0.000294,0.000294,0,0
7.7821e+21,1,0.000296,0.000296,0,0
7.7819e+21,1,0.000298,0.000298,0,0
7.7816e+21,1,0.0003,0.0003,0,0
7.7813e+21,1,0.000302,0.000302,0,0
7.7811e+21,1,0.000304,0.000304,0,0
7.7808e+21,1,0.000306,0.000306,0,0
7.7806e+21,1,0.000308,0.000308,0,0
7.7803e+21,1,0.00031,0.00031,0,0
7.7801e+21,1,0.000312,0.000312,0,0
7.7798e+21,1,0.000314,0.000314,0,0
7.7796e+21,1,0.000316,0.000316,0,0
7.7793e+21,1,0.000318,0.000318,0,0
7.7791e+21,1,0.00032,0.00032,0,0
7.7788e+21,1,0.000322,0.000322,0,0
7.7786e+21,1,0.000324,0.000324,0,0
7.7783e+21,1,0.000326,0.000326,0,0
7.7781e+21,1,0.000328,0.000328,0,0
7.7778e+21,1,0.00033,0.00033,0,0
7.7776e+21,1,0.000332,0.000332,0,0
7.7773e+21,1,0.000334,0.000334,0,0
7.7771e+21,1,0.000336,0.000336,0,0
7.7768e+21,1,0.000338,0.000338,0,0
7.7766e+21,1,0.00034,0.00034,0,0
7.7763e+21,1,0.000342,0.000342,0,0
7.7761e+21,1,0.000344,0.000344,0,0
7.7758e+21,1,0.000346,0.000346,0,0
7.7756e+21,1,0.000348,0.000348,0,0
7.7753e+21,1,0.00035,0.00035,0,0
7.7751e+21,1,0.000352,0.000352,0,0
7.7748e+21,1,0.000354,0.000354,0,0
7.7746e+21,1,0.000356,0.000356,0,0
7.7743e+21,1,0.000358,0.000358,0,0
7.7741e+21,1,0.00036,0.00036,0,0
