"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.6373e+25,1,0,0,0,0
4.6155e+25,1,2e-06,2e-06,0,0
4.5919e+25,1,4e-06,4e-06,0,0
4.566e+25,1,6e-06,6e-06,0,0
4.5377e+25,1,8e-06,8e-06,0,0
4.5063e+25,1,1e-05,1e-05,0,0
4.4715e+25,1,1.2e-05,1.2e-05,0,0
4.4326e+25,1,1.4e-05,1.4e-05,0,0
4.3886e+25,1,1.6e-05,1.6e-05,0,0
4.3387e+25,1,1.8e-05,1.8e-05,0,0
4.2814e+25,1,2e-05,2e-05,0,0
4.2148e+25,1,2.2e-05,2.2e-05,0,0
4.1365e+25,1,2.4e-05,2.4e-05,0,0
4.0428e+25,1,2.6e-05,2.6e-05,0,0
3.9277e+25,1,2.8e-05,2.8e-05,0,0
3.78e+25,1,3e-05,3e-05,0,0
3.5741e+25,1,3.2e-05,3.2e-05,0,0
3.2195e+25,1,3.4e-05,3.4e-05,0,0
2.1131e+25,1,3.6e-05,3.6e-05,0,0
-8.0103e+22,1,3.8e-05,3.8e-05,0,0
1.1672e+20,1,4e-05,4e-05,0,0
1.3375e+19,1,4.2e-05,4.2e-05,0,0
1.1391e+19,1,4.4e-05,4.4e-05,0,0
9.7406e+18,1,4.6e-05,4.6e-05,0,0
8.4196e+18,1,4.8e-05,4.8e-05,0,0
7.3386e+18,1,5e-05,5e-05,0,0
6.4375e+18,1,5.2e-05,5.2e-05,0,0
5.6752e+18,1,5.4e-05,5.4e-05,0,0
5.0224e+18,1,5.6e-05,5.6e-05,0,0
4.4579e+18,1,5.8e-05,5.8e-05,0,0
3.9659e+18,1,6e-05,6e-05,0,0
3.5346e+18,1,6.2e-05,6.2e-05,0,0
3.1545e+18,1,6.4e-05,6.4e-05,0,0
2.8183e+18,1,6.6e-05,6.6e-05,0,0
2.52e+18,1,6.8e-05,6.8e-05,0,0
2.2548e+18,1,7e-05,7e-05,0,0
2.0185e+18,1,7.2e-05,7.2e-05,0,0
1.8077e+18,1,7.4e-05,7.4e-05,0,0
1.6195e+18,1,7.6e-05,7.6e-05,0,0
1.4512e+18,1,7.8e-05,7.8e-05,0,0
1.3006e+18,1,8e-05,8e-05,0,0
1.1659e+18,1,8.2e-05,8.2e-05,0,0
1.0452e+18,1,8.4e-05,8.4e-05,0,0
