t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
0.1,964857416365797.9,1154672529873703.2,88762465329957.31,101052648177948.16,0.0,0.0,0.0,0.0
0.202,1453407007772708.5,1739601695057424.0,133706791572936.92,152220033669413.28,371288295.35071015,741029048.751777,11378915052.10697,255370809968.2225
0.30604000000000003,1825433225273918.5,2185227864877997.8,167931500630924.4,191183547197986.16,941960712.8818274,1879995871.187107,28868522897.683308,647901295686.0565
0.41216080000000005,2140034023034449.2,2562247122334427.5,196873333921835.16,224132710019666.03,1673037292.9235027,3339102922.0876136,51274130241.122116,1150769088017.0554
0.5204040160000001,2419348332373473.5,2897141264604294.0,222568971799235.03,253386204340718.28,2547199381.170976,5083785129.149568,78064957923.86859,1752060148436.3467
0.6308120963200001,2674407307967685.5,3203104876895176.0,246033230000870.94,280099358813899.06,3555142142.199873,7095471674.464836,108955835138.42561,2445373663767.202
0.7434283382464002,2911622479542363.5,3487806971627693.5,267855939913324.7,304943673764958.06,4691531095.5098715,9363515909.068613,143783273777.31778,3227040086266.319
0.8582969050113283,3135101068383728.0,3756160595245768.0,288414947094253.4,328349311813790.0,5953340710.980661,11881879466.550325,182454549778.08252,4094978184041.695
0.9754628431115548,3347657419598664.5,4011532647497039.5,307969158410803.7,350611028460097.1,7339035757.952853,14647498372.989347,224922613286.2958,5048131880060.677
1.094972099973786,3551317849060732.5,4256347719082228.5,326704985647825.56,371941046343470.75,8848117880.826519,17659378088.13282,271172192244.39066,6086158341990.784
1.2168715419732616,3747597805969354.5,4492419583411034.5,344761843194625.8,392498083378161.75,10480853089.540302,20918049622.447224,321211440620.6086,7209240525560.551
1.3412089728127268,3937665346390554.0,4721146704594386.0,362247186862437.7,412404473867769.44,12238097849.965038,24425222443.105297,375066608499.99585,8417967544836.309
1.4680331522689813,4122443111959723.5,4943634194471491.0,379245895458263.1,431756849065863.7,14121182926.666319,28183552644.036316,432778482150.9404,9713254769931.574
1.597393815314361,4302674881996577.0,5160773399449224.0,395826393274818.8,450633107395052.7,16131833018.482527,32196482552.446262,494399921057.03937,11096288546140.045
1.729341691620648,4478970648106690.5,5373295801338285.0,412044796747533.06,469097135256329.06,18272109612.905663,36468126676.1887,559994106550.0255,12568486884897.041
1.863928525453061,4651838106435744.0,5581810675091224.0,427947811597792.44,487202105315095.7,20544369482.22736,41003188869.48946,629633269825.4108,14131470914403.602
2.001207095962122,4821705249727368.0,5786832103269242.0,443574811198837.8,504992842640723.0,22951234058.66441,45806901211.306244,703397753372.7672,15787043813661.6
2.1412312378813647,4988936947609750.0,5988798801661630.0,458959361886244.6,522507561213793.25,25495566586.453487,50884978405.23374,781375310751.5494,17537175096100.34
2.284055862638992,5153847358252256.0,6188088960294665.0,474130364773508.7,539779163839185.5,28180454968.465572,56243583544.733734,863660580890.3628,19383988810319.22
2.4297369798917723,5316709382505200.0,6385031548168703.0,489112925489635.2,556836232308828.8,31009198872.35955,61889302379.71463,950354692931.0278,21329754670853.746
2.578331719489608,5477761977024664.0,6579915058124690.0,503929026953134.0,573703793328995.1,33985300084.720062,67829124065.56632,1041564970615.8258,23376881423142.543
2.7298983538794,5637215889466324.0,6772994365174291.0,518598056983617.2,590403919185784.8,37112455385.75181,74070426942.82954,1137404713923.999,25527911942312.68
2.884496320956988,5795258211981045.0,6964496172091971.0,533137227202532.5,606956204647480.1,40394551412.135315,80620968284.92981,1237993041640.961,27785519699565.82
3.0421862473761276,5952056036916810.0,7154623381740906.0,547561909341015.56,623378149838092.4,43835661112.26708,87488877224.07297,1343454782730.6584,30152506323920.246
3.2030299723236504,6107759421487618.0,7343558643353448.0,561885907975854.9,639685470736747.4,47440041495.56062,94682650259.90111,1453920407368.1912,32631800054099.234
3.3670905717701234,6262503814224649.0,7531467255480310.0,576121683751890.4,655892353307797.2,51212132448.14286,102211148896.52924,1569525990655.3972,35226454923964.0
3.5344323832055258,6416412057680725.0,7718499562472745.0,590280537621660.8,672011663250566.4,55156556439.28683,110083599057.37599,1690413203635.849,37939650560658.836
3.7051210308696363,6569596054195283.0,7904792948283471.0,604372764088151.0,688055120460314.6,59278118981.71595,118309592004.63554,1816729327414.7766,40774692501324.15
3.879223451487029,6722158161293743.0,8090473507179599.0,618407779575152.4,704033445172944.2,63581809738.21801,126899086548.71176,1948627287087.423,43735012954389.85
4.0568079205167695,6874192368310536.0,8275657453044561.0,632394230671187.9,719956481196555.2,68072804189.39668,135862412377.6348,2086265702865.559,46824171946861.39
4.237944078927105,7025785294598047.0,8460452315522712.0,646340085960168.4,735833300457100.9,72756465794.68085,145210274370.97714,2229808956321.8423,50045858810906.95
4.422702960505647,7177017041181874.0,8644957961095444.0,660252714369781.1,751672292195013.1,77638348592.18939,154953757789.70166,2379427270084.805,53403893972324.086
4.61115701971576,7327961921220202.0,8829267469404047.0,674138952370406.4,767481239468582.2,82724200193.67075,165104334254.55948,2535296799642.627,56902231010770.57
4.803380160110075,7478689074815413.0,9013467889828200.0,688005160539065.2,783267383562430.0,88019964988.3943,175673868443.3431,2697599840346.4336,60544977237507.14
4.9994477633122765,7629263073572876.0,9197640894403240.0,701857279159583.1,799037487235497.9,93531788427.84601,186674625442.14572,2866524525620.2515,64336323495806.61
5.199436718578522,7779744305238019.0,9381863350353056.0,715700863632308.0,814797875110061.8,99266020126.3945,198119278728.684,3042265568690.55,68280655505144.32
5.403425452950093,7930189447641656.0,9566207817798894.0,729541128058223.6,830554483239326.4,105229218736.34962,210020918712.8875,3225023982841.657,72382484739379.2
5.611493962009095,8080651816470891.0,9750742987293622.0,743382977236486.6,846312895548274.1,111428156357.41356,222393061835.0049,3415007323393.7314,76646469496392.53
5.823723841249277,8231181684458407.0,9935534065283054.0,757231036028382.6,862078377263388.8,117869823355.43465,235249660184.3822,3612429835408.5903,81077418213931.45
6.040198318074262,8381826563107933.0,1.0120643114913478e+16,771089675274763.2,877855904418692.0,124561433433.36778,248605111621.67157,3817512609125.1904,85680292957916.9
6.261002284435747,8532631452145963.0,1.0306129358393296e+16,784963034744476.0,893650189981612.9,131510428946.81808,262474270389.2577,4030483742892.426,90460213079002.78
6.486222330124463,8683639061061670.0,1.0492049446123694e+16,798855043515017.9,909465707055595.1,138724486458.28955,276872458198.18115,4251578513418.6387,95422459033341.67
6.715946776726952,8834890006417675.0,1.0678457697003038e+16,812769438124226.6,925306709545096.1,146211522525.72086,291815475782.7355,4481039553203.054,100572476364521.48
6.950265712261491,8986422988053783.0,1.086540631363813e+16,826709778780216.2,941177250609965.8,153979699722.1428,307319614916.4313,4719117035051.628,105915879844492.83
7.18927102650672,9138274946840764.0,1.1052945575641694e+16,840679463873994.4,957081199187515.2,162037432884.35022,323401670885.1207,4966068863613.295,111458457772039.22
7.433056447036854,9290481206255234.0,1.1241124013731966e+16,854681743003713.9,973022254820122.8,170393395589.4046,340078955414.93036,5222160873900.117,117206176427980.28
7.681717575977592,9443075599723084.0,1.1429988566965626e+16,868719728689688.9,989003960992314.2,179056526858.5736,357369310054.2213,5487667036779.389,123165184686832.83
7.935351927497144,9596090585407280.0,1.1619584725109148e+16,882796406934326.9,1005029717152864.1,188036038089.01352,375291120010.1735,5762869671447.262,129341818785140.12
8.194058966047088,9749557349887206.0,1.180995665788151e+16,896914646760173.1,1021102789573472.1,197341420214.08542,393863328441.81165,6048059664911.165,135742607247090.9
8.45794014536803,9903505901983298.0,1.200114733256922e+16,911077208841344.6,1037226321175321.5,206982451093.76135,413105451212.35614,6343536698525.792,142374275968423.22
8.72709894827539,1.0057965157815984e+16,1.2193198621318916e+16,925286753328557.1,1053403340437575.8,216969203137.02246,433037592104.7052,6649609481640.924,149243753459920.0
9.0016409272409,1.0212963018048068e+16,1.238615139924459e+16,939545846955067.8,1069636769487222.9,227312051158.57947,453680458504.7199,6966595992432.989,156358176252112.0
9.281673745785717,1.0368526438139936e+16,1.2580045634343986e+16,953856969499843.8,1085929431457139.5,238021680472.63647,475055377557.7309,7294823726003.124,163724894463047.56
9.567307220701432,1.0524681492344118e+16,1.2774920470096414e+16,968222519674766.1,1102284057188439.4,249109095226.7393,497184312804.35864,7634629949836.005,171351477531230.72
9.85865336511546,1.0681453432077682e+16,1.2970814301507368e+16,982644820494612.6,1118703291344009.2,260585626979.07812,520089881302.3612,7986361966721.913,179245720116042.38
