t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
0.1,1038034012882719.0,1307672365282961.0,121693262551923.95,147945089848319.12,0.0,0.0,0.0,0.0
0.202,1563328286483950.0,1969757076737945.8,183275806012586.72,222812301499786.22,333568829.920927,736509490.5294081,13158589574.017328,326454073730.0789
0.30604000000000003,1963395221608719.0,2474268545296135.0,230177401005398.9,279831569947668.84,846227216.1136013,1868443976.0113504,33382265947.317116,828255797206.3445
0.41216080000000005,2301709441590917.0,2901133685529154.5,269839455324510.8,328049574409856.2,1502965574.8067634,3318503057.3568516,59289784511.33456,1471102950723.7341
0.5204040160000001,2602071703587829.5,3280319809131626.0,305052235762814.9,370858501784954.7,2288224231.1836467,5052331435.958124,90267312847.67725,2239760127512.3184
0.6308120963200001,2876343511599725.0,3626761005666246.5,337206318271617.8,409948904908783.75,3193641517.2939878,7051466828.193931,125984986020.88188,3126040791758.9424
0.7434283382464002,3131419570987329.0,3949138040837028.0,367109999289850.3,446303446991082.6,4214422092.525547,9305321304.443707,166253630619.39795,4125250194749.9062
0.8582969050113283,3371716807625490.0,4253012395046501.0,395281094338959.8,480551647396453.2,5347844588.101617,11807886208.19849,210965890675.07877,5234724064128.252
0.9754628431115548,3600261845177663.5,4542195470960075.0,422074427736566.6,513124873608681.06,6592526215.79733,14556108432.75193,260067216521.53467,6453108585996.681
1.094972099973786,3819233855397553.5,4819432037727463.0,447745473309662.6,544333710602695.06,7948015441.594328,17548991056.393284,313539795900.2449,7779961615155.587
1.2168715419732616,4030262601135455.5,5086775443131320.0,472485295278699.94,574410439222180.4,9414547171.067696,20787052798.98544,371392896141.3532,9215512998875.398
1.3412089728127268,4234604232292027.0,5345808914442740.0,496441157585453.9,603534091378718.5,10992886506.446314,24271983042.296116,433656700471.63794,10760511616522.068
1.4680331522689813,4433250954768598.5,5597783608213004.0,519729380863302.9,631846080544546.8,12684224382.791548,28006411397.94378,500378190931.9227,12416123209849.309
1.597393815314361,4627002602948198.0,5843708700556302.0,542443733191938.2,659460402571866.1,14490105357.078796,31993748268.03282,571618299709.9878,14183859690980.486
1.729341691620648,4816515115401700.0,6084412402378486.0,564661113116216.4,686470544659956.5,16412376254.797235,36238071458.59355,647449883290.4888,16065528869599.227
1.863928525453061,5002334403902239.0,6320584588053602.0,586445520258715.2,712954312513463.6,18453148867.43042,40744043816.9659,727956250903.2705,18063197935593.637
2.001207095962122,5184920650835381.0,6552807376172769.0,607850903811306.8,738977293314299.5,20614772422.23227,45516852446.13658,813230078482.2444,20179166508442.816
2.1412312378813647,5364666141222981.0,6781577572602743.0,628923253061228.5,764595397218726.2,22899813037.60962,50562163343.10284,903372598201.6442,22415946525224.36
2.284055862638992,5541908611512586.0,7007323470976265.0,649702162327994.0,789856759884498.0,25311038293.314,55886087330.59609,998492989787.9092,24776247135778.746
2.4297369798917723,5716941417608511.0,7230417650103036.0,670222023006112.1,814803191662596.8,27851405626.282772,61495154435.74058,1098707922750.729,27262963342986.582
2.578331719489608,5890021400252546.0,7451186873576362.0,690512945658026.8,839471298605265.6,30524053643.348034,67396294709.08472,1204141213682.491,29879167498496.15
2.7298983538794,6061375053331018.0,7669919853789224.0,710601483151720.8,863893361599789.2,33332295697.26992,73596824041.00008,1314923572844.327,32628103014111.457
2.884496320956988,6231203421246337.0,7886873416701269.0,730511204800966.8,888098034363048.8,36279615247.756935,80104433919.2958,1431192421168.717,35513179820571.945
3.0421862473761276,6399686030688484.0,8102277451643391.0,750263157304088.5,912110903814571.4,39369662651.86478,86927184342.87576,1553091763650.2383,38537971225602.48
3.2030299723236504,6566984079176352.0,8316338926017945.0,769876238550589.4,935954944521232.6,42606253115.70922,94073499299.56033,1680772108549.458,41706211908812.08
3.3670905717701234,6733243044722009.0,8529245171730857.0,789367503563509.1,959650890637879.6,45993365602.90344,101552164356.34811,1814390424339.2222,45021796853163.414
3.5344323832055258,6898594839733169.0,8741166598289956.0,808752417010805.6,983217542890805.1,49535142541.8482,109372326013.53804,1954110128165.3103,48488781058462.02
3.7051210308696363,7063159602515962.0,8952258950057666.0,828045063231053.8,1006672023910481.0,53235890208.84987,117543492551.08466,2100101100968.3625,52111379916438.05
3.879223451487029,7227047197980353.0,9162665197760696.0,847258322167721.2,1030029992118570.4,57100079690.36614,126075536153.66968,2252539725452.28,55893970152751.95
4.0568079205167695,7390358483033808.0,9372517134077208.0,866404017716771.0,1053305822077292.9,61132348347.78962,134978696145.3877,2411608943877.781,59841091260950.96
4.237944078927105,7553186380074204.0,9581936727926238.0,885493043576939.9,1076512757488291.2,65337501723.70728,144263583199.2219,2577498333272.287,63957447368603.65
