t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,369.9999999999995,-5.069156681836243e+19,1.8070173497588766e-219,328167622785898.8,3.712297089000451e+18,382566940879167.0,1.1723103274656435e+18,8.898169844923621e+17,7.07809684603938e+17,6.97518042870217e+17,2.4413131500462323e+17
1.9803921568627452,369.9999999999995,-5.24777188865544e+19,-4.0068171960393536e-218,501201362214564.9,5.600652415142086e+18,569045851595909.4,1.7452064619222272e+18,1.3246782004124362e+18,1.0537223923913774e+18,1.0933148986682656e+18,3.8266021453397126e+17
2.9415609381007304,369.9999999999995,-5.301589506512895e+19,-2.0241887911652986e-217,638200427613690.4,6.934681654977674e+18,700794288457726.5,2.1482854036183846e+18,1.6306270832966474e+18,1.29709107019331e+18,1.3758067430764152e+18,4.8153236007684614e+17
3.8838832726477746,369.9999999999995,-5.325536764157938e+19,-5.030710518800599e-217,750460571939503.0,8.016875382359717e+18,807715418816678.5,2.4759582461169265e+18,1.8793465234749996e+18,1.4949362903259118e+18,1.6037601084822246e+18,5.6131603796889786e+17
4.84505205388576,369.9999999999995,-5.339830649227472e+19,-1.1290892345925343e-216,848160678993165.6,8.983309114009279e+18,903132207123857.8,2.7685785696328197e+18,2.1014615194315924e+18,1.671618864992179e+18,1.807332494123284e+18,6.325663729432852e+17
5.825444210748505,369.9999999999995,-5.350002581118784e+19,-2.0991314908016798e-216,938590755546325.4,9.869333144886315e+18,990437192365728.4,3.0372970210216525e+18,2.3054439238564964e+18,1.833877787145405e+18,1.9931743591960742e+18,6.976110257187776e+17
6.825444210748505,369.9999999999995,-5.357533026426839e+19,-3.302951796881762e-216,1020790830892842.1,1.0697761289971409e+19,1071958655919876.5,3.288415752137093e+18,2.4960676608368993e+18,1.9855104857760148e+18,2.1671664012847613e+18,7.585082404498348e+17
7.845444210748505,369.9999999999995,-5.363662363098134e+19,-5.534305256043239e-216,1100496712379863.5,1.1480228221109547e+19,1149054680282676.2,3.525632749452687e+18,2.676139166120628e+18,2.1287493546156268e+18,2.3314499255761244e+18,8.160074739518262e+17
8.885844210748505,369.9999999999995,-5.368622905573357e+19,-7.487224665912862e-216,1174698643800957.8,1.222672560054821e+19,1222304039137277.0,3.752260028015419e+18,2.8481821168166697e+18,2.265601880789553e+18,2.4876182016618004e+18,8.706663705818287e+17
9.947052210748506,369.9999999999995,-5.372773977097748e+19,-5.17984016310159e-216,1246127037330473.0,1.294409297017018e+19,1292934247562127.0,3.969584711121212e+18,3.0131532003487836e+18,2.396829035894561e+18,2.63850886038557e+18,9.23478101135162e+17
11.029484370748506,369.9999999999995,-5.376445072603618e+19,-3.1298027838934853e-218,1316700541439748.2,1.3636062920459622e+19,1360978386862545.0,4.179610885233794e+18,3.1725925031011436e+18,2.5236559184548664e+18,2.7833525442528077e+18,9.741733904887092e+17
12.133565173948506,369.9999999999995,-5.379519861293368e+19,-4.3012147392368895e-216,1382427735814772.5,1.4307917155610671e+19,1426770017179502.2,4.3835504722891484e+18,3.327416864051191e+18,2.6468118282782587e+18,2.9239472542509916e+18,1.0233815389880887e+18
13.259727593212506,369.9999999999995,-5.382279172236756e+19,-2.936555927611417e-215,1447995140067383.0,1.496212778604869e+19,1491221263569127.5,4.581720634219551e+18,3.477848283000125e+18,2.766473328107063e+18,3.061589869865226e+18,1.0715564544530844e+18
14.408413260861787,369.9999999999995,-5.384796690252102e+19,-8.410806490520313e-215,1512984732229631.2,1.5600498416578398e+19,1553922415423551.2,4.775560526292213e+18,3.6250048092212035e+18,2.88352981497746e+18,3.195063969584888e+18,1.1182723893549784e+18
