t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
0.1,1038034012882719.0,1307672365282961.0,121693262551923.95,147945089848319.12,0.0,0.0,0.0,0.0
0.202,1555396517047853.0,1976980251564022.8,182345930036494.56,221681831513752.25,17189324958.932713,37953688300.61425,678086657363.7158,16822743295297.385
0.30604000000000003,1943412271236392.2,2492543546981392.5,227834712443691.38,276983513653612.56,43383534329.15061,95790287416.37149,1711423954434.7202,42462451871517.66
0.41216080000000005,2266478773634003.0,2933514748876956.0,265709210220877.22,323028347605551.56,76653006233.69012,169249359936.0208,3023884838258.834,75028630212090.78
0.5204040160000001,2548838455328114.5,3329507103290356.0,298811469525535.4,363271469544196.2,116091085034.92209,256329151382.3622,4579703961388.753,113633584694705.33
0.6308120963200001,2802616956145012.5,3695256966884304.0,328563032105800.4,399441078083483.7,161170146535.38962,355864795197.1171,6358069003136.563,157760796605141.44
0.7434283382464002,3034885521558726.0,4039324719896019.5,355792890969311.25,432544997691999.1,211549834253.21,467104906162.6292,8345555330993.481,207077099604574.56
0.8582969050113283,3250187185567978.5,4367196228275517.0,381033645843770.56,463230721208323.2,266997870407.6102,589536734938.713,10533001996093.125,261355139054007.97
0.9754628431115548,3451642688119378.5,4682635947497447.0,404651154709796.0,491943029974964.2,327350823468.89624,722799545056.352,12913964039014.398,320434960285768.56
1.094972099973786,3641503621747668.0,4988361416047851.0,426909381598888.4,519002830688978.0,392492244418.643,866636339233.7307,15483849989026.207,384202603439635.1
1.2168715419732616,3821456721608243.0,5286413065381642.0,448006069843678.4,544650524132693.56,462339431218.5128,1020864636354.6061,18239399741653.426,452577145987796.7
1.3412089728127268,3992803693385204.5,5578372054837209.0,468093824089416.0,569071635024393.4,536834908203.8097,1185357658756.9219,21178348436375.457,525502361334860.3
1.4680331522689813,4156573612254990.5,5865495990594964.0,487293287315633.94,592412831604368.0,615940673750.5955,1360031631721.2578,24299199540109.39,602941087574389.2
1.597393815314361,4313596415938058.5,6148807389018132.0,505701756747742.56,614792400182217.9,699634167177.168,1544836878935.1978,27601065752678.13,684871279351320.5
1.729341691620648,4464552774464527.0,6429153521632225.0,523399030307570.75,636307352791359.8,787905352763.59,1739751384493.9536,31083553981339.164,771283153350179.5
1.863928525453061,4610008997795211.0,6707248181116645.0,540451498986316.56,657038402374021.4,880754557189.0782,1944776018408.5217,34746680036795.707,862177071348707.1
2.001207095962122,4750442124269409.0,6983701613086723.0,556915088072909.5,677053538495215.5,978190831221.1473,2159930919636.6318,38590804010364.84,957561936487964.8
2.1412312378813647,4886258366600916.0,7259042462711061.0,572837419658720.0,696410656345797.9,1080230686033.9706,2385252706279.7397,42616580429894.8,1057453956283423.4
2.284055862638992,5017806945069836.0,7533734190154667.0,588259434363085.1,715159528308735.8,1186897103456.8606,2620792290609.4297,46824919221998.91,1161875673796940.5
2.4297369798917723,5145390643233101.0,7808187565955566.0,603216628825382.9,733343308404578.4,1298218750579.1953,2866613145309.6987,51216954736033.734,1270855198860580.5
2.578331719489608,5269273987503655.0,8082770331574238.0,617740014632826.8,750999698080425.0,1414229349529.5496,3122789912344.651,55794020889670.08,1384425591205785.0
2.7298983538794,5389689672956865.0,8357814772895584.0,631856871645842.5,768161862043618.0,1534967166953.3206,3389407276124.2954,60557631036602.34,1502624360769573.2
2.884496320956988,5506843673837863.0,8633623732441257.0,645591347125166.8,784859156633324.8,1660474597137.7026,3666559043450.0713,65509461528738.1,1625493059675569.8
3.0421862473761276,5620919353320360.0,8910475436691714.0,658964937536839.4,801117715561127.1,1790797819345.0786,3954347387320.838,70651338206041.86,1753076946860678.5
3.2030299723236504,5732080801869692.0,9188627412414618.0,671996879923080.6,816960925708945.0,1925986514639.691,4252882222110.2573,75985225233561.28,1885424710942591.5
3.3670905717701234,5840475573925329.0,9468319694271350.0,684704472735539.1,832409817172845.4,2066093630922.4944,4562280685199.461,81513215840472.69,2022588240281042.0
3.5344323832055258,5946236950183574.0,9749777475098614.0,697103341052592.2,847483385693354.5,2211175187416.862,4882666705730.229,87237524615694.7,2164622431660252.5
3.7051210308696363,6049485822115942.0,1.003321331358489e+16,709207657509657.0,862198861245160.2,2361290111735.585,5214170645311.994,93160481089094.84,2311585030867992.0
3.879223451487029,6150332272921267.0,1.0318828987254096e+16,721030327641113.1,876571933361225.4,2516500104087.0186,5556928998667.594,99284524383622.8,2463536499844086.0
4.0568079205167695,6248876912476546.0,1.0606817058830044e+16,732583146382429.6,890616941395759.2,2676869524269.819,5911084144612.822,105612198766761.28,2620539906139690.0
4.237944078927105,6345212011376827.0,1.0897362209202544e+16,743876931018620.0,904347036152482.6,2842465297948.9717,6276784139626.715,112146149962952.4,2782660831254110.5
4.422702960505647,6439422469698862.0,1.1190642378974304e+16,754921634756624.9,917774317957003.1,3013356839363.6733,6654182547722.2,118889122114613.56,2949967295060077.0
4.61115701971576,6531586648882929.0,1.148682975197815e+16,765726444250463.5,930909955220213.5,3189615988135.3413,7043438301469.694,125843955299781.34,3122529694035172.0
4.803380160110075,6621777089534515.0,1.1786091607527296e+16,776299863752257.9,943764286742477.8,3371316958255.1567,7444715589933.865,133013583530622.97,3300420751419247.5
4.9994477633122765,6710061133587434.0,1.2088591063002828e+16,786649788051134.2,956346910387022.4,3558536297658.7656,7858183770008.774,140401033170036.17,3483715477739549.5
5.199436718578522,6796501465845174.0,1.2394487724341842e+16,796783565960486.4,968666760262738.1,3751352857060.7617,8284017298221.833,148009421713976.12,3672491140404182.0
5.403425452950093,6881156587205902.0,1.2703938258790176e+16,806708055796196.8,980732174170250.1,3949847766936.1274,8722395680550.091,155841956895644.16,3866827241274688.0
5.611493962009095,6964081229714869.0,1.3017096901741564e+16,816429674035058.4,992550952756986.0,4154104421710.867,9173503438179.73,163901936074552.66,4066805501300198.5
5.823723841249277,7045326721853587.0,1.333411590744579e+16,825954438139219.6,1004130411579776.4,4364208470368.199,9637530087457.48,172192745879187.62,4272509851436169.0
6.040198318074262,7124941311074012.0,1.3655145951725182e+16,835288004368258.8,1015477427073792.5,4580247812794.968,10114670132544.086,180717862076652.47,4484026429187094.0
6.261002284435747,7202970449447310.0,1.3980336493505388e+16,844435701267061.0,1026598477264469.0,4802312601292.121,10605123069498.479,189480849646573.84,4701443580209183.0
6.486222330124463,7279457047367769.0,1.4309836100879448e+16,853402559408623.1,1037499677926474.4,5030495246754.772,11109093400702.617,198485363039801.7,4924851864489356.0
6.715946776726952,7354441699487888.0,1.4643792746531672e+16,862193337881412.9,1048186814784953.5,5264890429096.77,11626790658689.654,207735146605148.4,5154344066684475.0
6.950265712261491,7427962886430655.0,1.498235407661376e+16,870812547936982.9,1058665372264426.8,5505595111552.694,12158429438565.361,217234035169715.2,5390015210261865.0
7.18927102650672,7500057155301667.0,1.5325667656556946e+16,879264474152189.5,1068940559216169.1,5752708558538.977,12704229438323.121,226985954760277.34,5631962575129797.0
7.433056447036854,7570759281588383.0,1.5673881196796664e+16,887553193409356.5,1079017331992792.5,6006332356798.363,13264415506442.96,236994923454874.88,5880285718488019.0
7.681717575977592,7640102414669056.0,1.6027142760964778e+16,895682591954924.5,1088900415186785.1,6266570439586.899,13839217696246.164,247265052355131.6,6135086498663047.0
7.935351927497144,7708118208846914.0,1.6385600958748226e+16,903656380761147.2,1098594320306100.4,6533529113693.465,14428871326542.047,257800546671055.94,6396469101722776.0
8.194058966047088,7774836941567468.0,1.6749405125315096e+16,911478109385245.1,1108103362622975.5,6807317089108.137,15033617048163.605,268605706911103.1,6664540070691059.0
8.45794014536803,7840287620257056.0,1.7118705488955504e+16,919151178494529.8,1117431676401032.9,7088045511178.282,15653700916037.645,279684930171173.25,6939408337204476.0
8.72709894827539,7904498079035099.0,1.7493653328370814e+16,926678851204423.1,1126583228679124.0,7375827995110.846,16289374466479.07,291042711517001.1,7221185255473605.0
9.0016409272409,7967495066393431.0,1.787440112086261e+16,934064263357479.5,1135561831767767.5,7670780662696.727,16940894799435.996,302683645455068.7,7509984638426726.0
9.281673745785717,8029304324800608.0,1.8261102682515416e+16,941310432855749.8,1144371154594705.2,7973022181147.607,17608524665446.902,314612427487745.4,7805922795930036.0
9.567307220701432,8089950663072012.0,1.865391330133577e+16,948420268145046.0,1153014733019394.5,8282673803948.903,18292532557097.73,326833855748916.1,8109118574989380.0
9.85865336511546,8149458022246444.0,1.90529898641931e+16,955396575937938.2,1161495979222017.8,8599859413643.978,18993192804795.027,339352832716763.06,8419693401851508.0
10.155826432417769,8207849535622821.0,1.9458490978310916e+16,962242068252118.9,1169818190260198.2,8924705566475.129,19710785676690.49,352174367000806.94,8737771325931796.0
10.458942961066125,8265147583535753.0,1.987057708796988e+16,968959368831983.5,1177984555875823.5,9257341538815.17,20445597482615.64,365303575200647.06,9063479065504246.0
10.768121820287448,8321373843382988.0,2.0289410587011104e+16,975551019013582.1,1185998165625189.5,9597899375332.033,21197920681899.523,378745683834176.1,9396946055097914.0
11.083484256693197,8376549335361592.0,2.0715155927662788e+16,982019483086438.8,1193862015397512.8,9946513938835.873,21968053994961.734,392506031333293.2,9738304494550150.0
11.405153941827061,8430694464318846.0,2.1147979726158412e+16,988367153199946.6,1201579013379698.8,10303322961764.115,22756302518583.668,406590070105435.44,1.0087689399674126e+16
11.733257020663602,8483829058081812.0,2.158805086556423e+16,994596353856895.4,1209151985519239.0,10668467099266.01,23562977844776.07,421003368659443.06,1.0445238654502796e+16
12.067922161076874,8535972402590000.0,2.2035540596192656e+16,1000709346032219.2,1216583680531488.0,11042089983852.928,24388398183171.848,435751613794482.5,1.0811093065077484e+16
12.409280604298411,8587143274122773.0,2.2490622633938824e+16,1006708330951180.2,1223876774492816.8,11424338281586.256,25232888486882.715,450840612850963.0,1.1185396414752666e+16
12.75746621638438,8637359968883389.0,2.295347325684634e+16,1012595453557621.0,1231033875057090.2,11815361749777.447,26096780581768.29,466276296022498.9,1.1568295520994198e+16
13.112615540712067,8686640330175084.0,2.342427140017778e+16,1018372805699926.8,1238057525328904.8,12215313296180.299,26980413299075.297,482064718728188.4,1.1959940293650418e+16
13.474867851526309,8735001773381738.0,2.3903198750241108e+16,1024042429059632.1,1244950207423933.2,12624349039657.494,27884132611411.266,498212064044565.44,1.2360483794680138e+16
13.844365208556836,8782461308944821.0,2.4390439837199084e+16,1029606317845106.1,1251714345743729.0,13042628372307.986,28808291772025.008,514724645196746.75,1.2770082299324288e+16
14.221252512727972,8829035563510437.0,2.4886182127070236e+16,1035066421270707.6,1258352309989652.0,13470314023043.95,29753251457373.14,531608908108377.56,1.3188895358710652e+16
