t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,369.9999999997644,-5.434655626501184e+19,-6e-323,2.5124043978970024e+16,5.5773599687514136e+16,3.064955570854415e+16,0.0,0.0,0.0,0.0,0.0
1.9523809523809523,369.9999999997644,-5.4373614560597524e+19,-8e-323,3.7682506959359336e+16,8.312149921649725e+16,4.543899225713759e+16,0.0,0.0,0.0,0.0,0.0
2.9523809523809526,369.9999999997644,-5.438119768236846e+19,-1e-322,4.774665906665788e+16,1.042536675418603e+17,5.650700847520285e+16,0.0,0.0,0.0,0.0,0.0
4.002380952380952,369.9999999997644,-5.4384952270681104e+19,-1e-322,5.645346989176296e+16,1.2250012324403909e+17,6.60466533522761e+16,0.0,0.0,0.0,0.0,0.0
5.104880952380952,369.9999999997644,-5.43872985533121e+19,-2e-323,6.434008465438966e+16,1.390721226588172e+17,7.47320380044275e+16,0.0,0.0,0.0,0.0,0.0
6.262505952380953,369.9999999997644,-5.4388954267073495e+19,-1e-322,7.1691413965318504e+16,1.545560245667163e+17,8.286461060139765e+16,0.0,0.0,0.0,0.0,0.0
7.4780122023809525,369.9999999997644,-5.439020975365637e+19,-1e-322,7.867335593315173e+16,1.6928806842816474e+17,9.061471249501242e+16,0.0,0.0,0.0,0.0,0.0
8.754293764880952,369.9999999997644,-5.439120782205093e+19,-9.4e-323,8.539155026764365e+16,1.8348289720035395e+17,9.809134693271043e+16,0.0,0.0,0.0,0.0,0.0
10.094389405505952,369.9999999997644,-5.43920282617615e+19,-1e-322,9.191830325496224e+16,1.972879990096765e+17,1.0536969575471504e+17,0.0,0.0,0.0,0.0,0.0
11.501489828162203,369.9999999997644,-5.439271975556104e+19,-1.4e-322,9.830585161243082e+16,2.1081035417092755e+17,1.1250450255849651e+17,0.0,0.0,0.0,0.0,0.0
12.978945271951266,369.9999999997644,-5.439331398005781e+19,-1.33e-322,1.0459357709352021e+17,2.2413088650057648e+17,1.195373094070571e+17,0.0,0.0,0.0,0.0,0.0
14.530273487929783,369.9999999997644,-5.439383258405741e+19,-1.5e-322,1.1081220692668387e+17,2.373129201664213e+17,1.2650071323973723e+17,0.0,0.0,0.0,0.0,0.0
