t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
0.1,878184692305091.0,1002349173156223.1,60489917771387.09,63674563079745.664,0.0,0.0,0.0,0.0
0.202,1323164669108247.8,1510276816164016.5,91140420522475.98,95938739721859.16,69209081.45120218,122440656.9426439,1569160524.9273043,31226001170.503075
0.30604000000000003,1662037624162336.8,1897112937349003.0,114482204331100.72,120509411137694.12,175602763.31590846,310666170.580677,3981405711.0217695,79230043224.49341
0.41216080000000005,1948661459370918.8,2224326820585447.0,134225035660206.52,141291654045737.97,311920160.1159077,551830998.4817663,7072107714.34856,140735649710.03845
0.5204040160000001,2203194935986040.0,2514925891466067.5,151757462760088.9,159747120366082.47,474939170.04569477,840234788.7436613,10768211972.57068,214288967926.2212
0.6308120963200001,2435680683668351.5,2780371859829764.5,167771228324514.22,176603971349645.9,662931545.2679608,1172820029.8833392,15030534111.378262,299110201564.04034
0.7434283382464002,2651955284012128.5,3027326056956396.5,182668359791241.22,192285400192390.1,874909240.4794827,1547838733.978388,19836672328.157,394753540329.748
0.8582969050113283,2855757604209027.0,3260055714024543.5,196706392700938.94,207062501049039.7,1110314801.0230978,1964304689.248413,25173987566.255203,500967458480.2703
0.9754628431115548,3049649666835032.5,3481484958820139.5,210061800791594.6,221121038566593.56,1368868827.2226741,2421723602.833071,31036145083.27146,617625889401.6702
1.094972099973786,3235476248538123.5,3693719355747218.5,222861653447304.9,234594772020181.9,1650485506.2641737,2919943664.7301087,37421199312.73306,744690113121.2753
1.2168715419732616,3414617183327212.0,3898333857498471.0,235200994508656.34,247583749075178.56,1955221859.8231022,3459065759.6744766,44330443160.79429,882185856647.74
1.3412089728127268,3588136165579774.0,4096542631539917.0,247153091918160.84,260165095051315.44,2283245366.6458473,4039386186.9176474,51767673916.77185,1030188685198.5455
1.4680331522689813,3756873572681068.5,4289304996423625.0,258775831402443.62,272399743216544.97,2634812347.8669257,4661358420.813214,59738703186.189,1188814249619.6504
1.597393815314361,3921507039499163.0,4477394553623295.5,270115888880456.28,284336826862300.06,3010253022.962346,5325566672.703907,68251018066.472404,1358211543616.7065
1.729341691620648,4082592483111561.0,4661446007590829.0,281211556272635.62,296016653884570.1,3409960893.3328924,6032707109.000127,77313540442.54356,1538558113622.6863
1.863928525453061,4240592764770554.0,4841987876499606.0,292094715755232.25,307472784977866.1,3834385041.7173285,6783574227.775408,86936452392.69633,1730056584292.4893
2.001207095962122,4395898251120675.0,5019465957860814.0,302792256029990.8,318733524468031.06,4284024460.065975,7579050823.996735,97131067585.53256,1932932099241.1104
2.1412312378813647,4548841903822956.0,5194260549622247.0,313327111707034.06,329823014416070.9,4759423827.979745,8420100521.011726,107909735565.40416,2147430416277.9143
2.284055862638992,4699710575232609.0,5366699341409852.0,323719041358289.8,340762053634186.06,5261170353.803926,9307762182.023678,119285770131.31383,2373816482111.088
2.4297369798917723,4848753612467774.0,5537067233979030.0,333985220171198.2,351568721541245.94,5789891411.113138,10243145728.727676,131273395749.63371,2612373365932.6846
2.578331719489608,4996189513017753.0,5705613935006596.0,344140698391229.2,362258860741170.25,6346252782.223463,11227429033.865034,143887707729.8939,2863401466894.2295
2.7298983538794,5142211144376597.0,5872559916103687.0,354198760853536.75,372846455483049.4,6930957373.310482,12261855648.11667,157144643093.2462,3127217934370.752
2.884496320956988,5286989887784911.0,6038101142638834.0,364171212408910.7,383343932120125.6,7544744303.138239,13347733206.382004,171060964617.8307,3404156882740.925
3.0421862473761276,5430678967688748.0,6202412871087983.0,374068607249399.44,393762400484366.1,8188388285.282373,14486432261.462126,185654228068.2738,3694566616866.268
3.2030299723236504,5573416146972502.0,6365652728994421.0,383900434572228.7,404111849362250.7,8862699264.615892,15679385750.78103,200942802015.52872,3998813200408.2373
3.3670905717701234,5715325937918583.0,6527963235903113.0,393675270862280.5,414401306769519.44,9568522244.155653,16928088617.104403,216945845257.26517,4317277896607.205
3.5344323832055258,5856521424852450.0,6689473884340502.0,403400905439519.7,424638972114692.4,10306737285.86354,18234097828.19569,233683311487.7381,4650357787240.145
3.7051210308696363,5997105780780460.0,6850302870954383.0,413084444925977.6,434832326165993.25,11078259653.57517,19599032629.719795,251175952538.96942,4998465837125.774
3.879223451487029,6137173538047983.0,7010558546954219.0,422732400769481.1,444988223182979.0,11884040079.234896,21024575016.295773,269445324417.66464,5362031014251.443
4.0568079205167695,6276811659963608.0,7170340641428006.0,432350763057810.75,455112968616831.0,12725065136.719423,22512470392.890488,288513795781.4844,5741498458444.123
4.237944078927105,6416100450118956.0,7329741299452264.0,441945063153226.1,465212385042444.7,13602357710.758154,24064528404.4549,308404558571.48834,6137329692949.058
4.422702960505647,6555114328396585.0,7488845968081848.0,451520427144372.0,475291868424437.06,14516977550.978651,25682623916.161182,329141640574.6229,6550002874417.09
4.61115701971576,6693922496740257.0,7647734156552884.0,461081621704972.4,485356436390192.75,15470021903.090015,27368698130.110508,350749919735.19727,6980013077696.697
