t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
0.1,964857416365797.9,1154672529873703.2,88762465329957.31,101052648177948.16,0.0,0.0,0.0,0.0
0.202,1453308425223050.2,1739686594841262.2,133697722429722.94,152209708799332.28,652498733.3126444,1302278009.1918817,19997206613.34078,448786405802.29694
0.30604000000000003,1825183076856227.0,2185443139172811.8,167908488121748.88,191157348342929.72,1655278600.6892233,3303659632.971266,50729779147.499626,1138537134523.1738
0.41216080000000005,2139589766802097.0,2562629384466454.5,196832464382365.84,224086181623546.3,2939769224.3481297,5867289869.698094,90096112280.03722,2022068487075.7546
0.5204040160000001,2418672070933444.0,2897723179009712.0,222506758842812.1,253315377286623.25,4475476341.412203,8932307496.553907,137161624920.37305,3078402538074.4053
0.6308120963200001,2673463652735288.5,3203916984857659.5,245946418039715.1,280000526740552.66,6245991559.309582,12465964352.3979,191423441172.33444,4296251945019.4556
0.7434283382464002,2910377494104570.0,3488878596651065.0,267741406952800.78,304813282401733.1,8241884053.395099,16449438344.458622,252592532375.16046,5669129337186.363
0.8582969050113283,3133521654916907.0,3757520369767217.5,288269648286111.44,328183894718249.7,10457779608.900797,20872003704.899525,320504195735.22705,7193337866905.666
0.9754628431115548,3345710923596748.0,4013208852912082.0,307790089689983.25,350407165619889.94,12890921164.101215,25728158077.341076,395073938182.7872,8866980988038.818
1.094972099973786,3548971785022706.5,4258368522335400.0,326489158496953.8,371695335446693.8,15540371414.651068,31016031050.182068,476273038050.9438,10689413928522.512
1.2168715419732616,3744819655835255.5,4494813211408675.0,344506266101055.9,392207118702907.9,18406533469.22429,36736427467.03655,564113854319.75,12660913954198.379
1.3412089728127268,3934422404455419.0,4723941578930086.0,361948851051043.8,412064830039461.2,21490844846.559883,42892216697.54188,658640448376.9435,14782469874243.94
1.4680331522689813,4118702360881282.5,4946859039639686.0,378901763484714.44,431365068071137.56,24795573001.457123,49487924542.91452,759922317403.7053,17055641387618.018
1.597393815314361,4298402890364545.5,5164457332713770.0,395433389602419.06,450185687853860.1,28323673772.12883,56529450721.987076,868050056151.1836,19482461712306.617
1.729341691620648,4474133483392608.0,5377468409554238.0,411599799739011.75,468590523304888.0,32078690641.38205,64023867814.817406,983132269563.6373,22065368289720.875
1.863928525453061,4646401259161851.0,5586502082049234.0,427447646539182.4,486632686663852.75,36064681489.12545,71979275074.40259,1105293327945.0366,24807152399838.41
2.001207095962122,4815633565962466.0,5792073030045372.0,443016244089409.56,504356935504426.0,40286164461.45714,80404690391.92316,1234671708003.2834,27710921926222.598
2.1412312378813647,4982194567727232.0,5994620621747398.0,458339093804516.06,521801409897419.1,44748077501.463974,89309969528.5176,1371418752593.4524,30780073518609.645
2.284055862638992,5146397660440689.0,6194523750806743.0,473445026680489.44,538998932821624.56,49455747879.420525,98705745304.24065,1515697736919.1555,34018271633832.227
2.4297369798917723,5308514929905003.0,6392112138110622.0,488359073365628.75,555978000706329.7,54414869198.44798,108603381706.84758,1667683163839.5293,37429432718919.266
2.578331719489608,5468784467633958.0,6587675074441470.0,503103137189322.94,572763549648654.6,59631484096.164345,119014939368.8936,1827560233745.5176,41017713312315.87
2.7298983538794,5627416108154236.0,6781468277175254.0,517696521967489.2,589377556299730.0,65111971362.40243,129953149858.63786,1995524449779.0166,44787501182797.53
2.884496320956988,5784595984088103.0,6973719334695390.0,532156351049339.06,605839514933299.1,70863036535.97534,141431396914.62897,2171781329677.6357,48743408861528.27
3.0421862473761276,5940490183028979.0,7164632077903688.0,546497903733189.56,622166820442167.4,76891705283.66402,153463703233.2215,2356546202889.101,52890269087935.18
3.2030299723236504,6095247713050097.0,7354390125980885.0,560734888079678.6,638375078925544.1,83205319035.91866,166064721760.21786,2550044076850.0176,57233131807918.28
3.3670905717701234,6249002929722768.0,7543159789059322.0,574879664186347.8,654478361878555.8,89811532477.98853,179249730685.7222,2752509560130.3545,61777262448364.414
3.5344323832055258,6401877539163085.0,7731092464631525.0,588943428458754.1,670489415977810.9,96718312586.59357,193034631523.75558,2964186832947.004,66528141254803.67
3.7051210308696363,6553982263950903.0,7918326631449181.0,602936366867405.2,686419837558528.0,103933938970.44107,207435949794.22714,3185329657638.4795,71491463525952.72
3.879223451487029,6705418238524486.0,8104989520481696.0,616867783317670.1,702280218758717.4,111467005324.36555,222470837927.63687,3416201423271.656,76673140614300.62
4.0568079205167695,6856278185663539.0,8291198524591130.0,630746207880835.9,718080270736097.5,119326421846.21457,238157080091.37918,3657075219756.052,82079301588950.89
4.237944078927105,7006647414441473.0,8477062395162246.0,644579488601150.6,733828928186858.1,127521418495.94421,254513098697.0847,3908233937772.1123,87716295477810.14
4.422702960505647,7156604671522636.0,8662682263764117.0,658374869811262.1,749534438504777.6,136061549000.06296,271557962395.70047,4169970391544.813,93590694022498.33
4.61115701971576,7306222871174704.0,8848152519147684.0,672139059290028.5,765204438237806.2,144956695523.17355,289311395404.11633,4442587462064.476,99709294892149.69
4.803380160110075,7455569698846494.0,9033561565091894.0,685878283792935.2,780846016319690.5,154217073456.12683,307793787587.9855,4726398432544.102,106079156839187.08
4.9994477633122765,7604708258143146.0,9218992472559552.0,699598348554643.2,796465781761517.4,163853239178.5376,327026207874.1619,5021726475193.934,112707478177994.22
5.199436718578522,7753697389968837.0,9404523554801654.0,713304666673119.4,812069897179577.8,173876093509.14972,347030414251.91583,5328905878744.973,119601788593601.75
5.403425452950093,7902592189226182.0,9590228865440684.0,727002306627201.2,827664132841871.9,184296890432.66525,367828869128.7406,5648281571432.03,126769829414427.2
5.611493962009095,8051444340875452.0,9776178637037708.0,740696023196643.0,843253901882067.5,195127243882.31958,389444753385.1926,5980209514259.94,134219589572015.56
5.823723841249277,8200302438306259.0,9962439667642950.0,754390286750847.5,858844293643604.6,206379135423.34717,411901981713.8559,6325056936550.9795,141959310888566.9
6.040198318074262,8349212264200997.0,1.0149075662750098e+16,768089309087027.2,874440103095432.4,218064922341.94757,435225218767.8328,6683202583921.864,149997493641642.0
6.261002284435747,8498217039082383.0,1.0336147538858874e+16,781797066295423.5,890045856863202.4,230197346124.59912,459439896088.5153,7055036978227.591,158342902397411.16
6.486222330124463,8647357641910304.0,1.0523713693860896e+16,795517319053224.1,905665836333086.6,242789541315.585,484572229788.4328,7440962689099.994,167004572104086.94
6.715946776726952,8796672806412526.0,1.071183024865214e+16,809253630686074.2,921304098214132.8,255855044743.0638,510649238969.89307,7841394616785.715,175991814438912.6
6.950265712261491,8946199296273501.0,1.0900551263704084e+16,823009383284657.6,936964492886365.4,269407805106.17743,537698764864.4352,8256760286052.627,185314224403518.72
7.18927102650672,9095972061840384.0,1.1089928933772686e+16,836787792120929.2,952650680813098.6,283462192917.43005,565749490681.6135,8687500150989.152,194981687163710.2
7.433056447036854,9246024380618564.0,1.1280013763461416e+16,850591918573053.1,968366147255505.8,298033010796.1494,594830962158.7518,9134067910567.795,205004385130781.16
7.681717575977592,9396387983505770.0,1.1470854725967838e+16,864424681738370.4,984114215493519.8,313135504110.11993,624973608805.884,9596930834883.887,215392805282372.72
7.935351927497144,9547093168441712.0,1.1662499407020564e+16,878288868888649.1,999898058728721.2,328785371963.6196,656208765842.3466,10076570102016.064,226157746721653.22
8.194058966047088,9698168902921710.0,1.1854994135738614e+16,892187144900857.9,1015720710820941.8,344998778531.0606,688568696823.4778,10573481145483.47,237310328474270.25
8.45794014536803,9849642916629330.0,1.2048384103915316e+16,906122060778948.0,1031585075989957.9,361792364736.2747,722086616957.4833,11088174012302.133,248861997523119.66
8.72709894827539,1.0001541785277412e+16,1.2242713475031246e+16,920096061366858.5,1047493937596461.4,379183260278.2315,756796717114.0604,11621173731663.64,260824537081449.3
9.0016409272409,1.015389100660854e+16,1.2438025484134652e+16,934111492340187.0,1063449966101811.1,397189096004.5868,792734188527.623,12173020694280.705,273210075105291.1
9.281673745785717,1.030671506938445e+16,1.2634362529584744e+16,948170606552914.5,1079455726293526.2,415828016635.05237,829935248199.0814,12744271042459.938,286031093046571.06
9.567307220701432,1.046003751609222e+16,1.2831766257529428e+16,962275569806090.1,1095513683852707.8,435118693837.0522,868437165001.1165,13335497070977.766,299300434848607.2
9.85865336511546,1.0613881000006446e+16,1.3030277639885096e+16,976428466097285.5,1111626211330364.5,455080339656.5445,908278286492.755,13947287638848.578,313031316185978.0
10.155826432417769,1.0768267337170486e+16,1.3229937046494484e+16,990631302402616.4,1127795593591528.2,475732720307.3128,949498066449.7944,14580248592085.988,327237333951028.0
10.458942961066125,1.0923217553792926e+16,1.3430784312059792e+16,1004886013037041.5,1144024032779307.8,497096170322.3113,992137093118.3179,15235003197568.182,341932475989495.06
