"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.6418e+21,1,0.000252,0.000252,0,0
4.6415e+21,1,0.000254,0.000254,0,0
4.6412e+21,1,0.000256,0.000256,0,0
4.641e+21,1,0.000258,0.000258,0,0
4.6407e+21,1,0.00026,0.00026,0,0
4.6404e+21,1,0.000262,0.000262,0,0
4.6401e+21,1,0.000264,0.000264,0,0
4.6399e+21,1,0.000266,0.000266,0,0
4.6396e+21,1,0.000268,0.000268,0,0
4.6393e+21,1,0.00027,0.00027,0,0
4.639e+21,1,0.000272,0.000272,0,0
4.6388e+21,1,0.000274,0.000274,0,0
4.6385e+21,1,0.000276,0.000276,0,0
4.6382e+21,1,0.000278,0.000278,0,0
4.638e+21,1,0.00028,0.00028,0,0
4.6377e+21,1,0.000282,0.000282,0,0
4.6374e+21,1,0.000284,0.000284,0,0
4.6371e+21,1,0.000286,0.000286,0,0
4.6369e+21,1,0.000288,0.000288,0,0
4.6366e+21,1,0.00029,0.00029,0,0
4.6363e+21,1,0.000292,0.000292,0,0
4.6361e+21,1,0.000294,0.000294,0,0
4.6358e+21,1,0.000296,0.000296,0,0
4.6355e+21,1,0.000298,0.000298,0,0
4.6352e+21,1,0.0003,0.0003,0,0
4.635e+21,1,0.000302,0.000302,0,0
4.6347e+21,1,0.000304,0.000304,0,0
4.6344e+21,1,0.000306,0.000306,0,0
4.6342e+21,1,0.000308,0.000308,0,0
4.6339e+21,1,0.00031,0.00031,0,0
4.6336e+21,1,0.000312,0.000312,0,0
4.6333e+21,1,0.000314,0.000314,0,0
4.6331e+21,1,0.000316,0.000316,0,0
4.6328e+21,1,0.000318,0.000318,0,0
4.6325e+21,1,0.00032,0.00032,0,0
4.6323e+21,1,0.000322,0.000322,0,0
4.632e+21,1,0.000324,0.000324,0,0
4.6317e+21,1,0.000326,0.000326,0,0
4.6315e+21,1,0.000328,0.000328,0,0
4.6312e+21,1,0.00033,0.00033,0,0
4.6309e+21,1,0.000332,0.000332,0,0
4.6306e+21,1,0.000334,0.000334,0,0
4.6304e+21,1,0.000336,0.000336,0,0
4.6301e+21,1,0.000338,0.000338,0,0
4.6298e+21,1,0.00034,0.00034,0,0
4.6296e+21,1,0.000342,0.000342,0,0
4.6293e+21,1,0.000344,0.000344,0,0
4.629e+21,1,0.000346,0.000346,0,0
4.6288e+21,1,0.000348,0.000348,0,0
4.6285e+21,1,0.00035,0.00035,0,0
4.6282e+21,1,0.000352,0.000352,0,0
4.628e+21,1,0.000354,0.000354,0,0
4.6277e+21,1,0.000356,0.000356,0,0
4.6274e+21,1,0.000358,0.000358,0,0
