"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3.7145e-15,1,0.00026,0.00026,0,0
1.3874e-16,1,0.000262,0.000262,0,0
3.9919e-15,1,0.000264,0.000264,0,0
6.8766e-15,1,0.000266,0.000266,0,0
6.0221e-15,1,0.000268,0.000268,0,0
5.1677e-15,1,0.00027,0.00027,0,0
4.3132e-15,1,0.000272,0.000272,0,0
3.4587e-15,1,0.000274,0.000274,0,0
2.6043e-15,1,0.000276,0.000276,0,0
1.7498e-15,1,0.000278,0.000278,0,0
8.9531e-16,1,0.00028,0.00028,0,0
4.0828e-17,1,0.000282,0.000282,0,0
-8.1364e-16,1,0.000284,0.000284,0,0
-1.5408e-15,1,0.000286,0.000286,0,0
-1.3513e-15,1,0.000288,0.000288,0,0
-1.1618e-15,1,0.00029,0.00029,0,0
-9.7235e-16,1,0.000292,0.000292,0,0
-7.8286e-16,1,0.000294,0.000294,0,0
-5.9338e-16,1,0.000296,0.000296,0,0
-4.039e-16,1,0.000298,0.000298,0,0
-2.1441e-16,1,0.0003,0.0003,0,0
-2.4931e-17,1,0.000302,0.000302,0,0
1.6455e-16,1,0.000304,0.000304,0,0
3.452e-16,1,0.000306,0.000306,0,0
3.0318e-16,1,0.000308,0.000308,0,0
2.6116e-16,1,0.00031,0.00031,0,0
2.1914e-16,1,0.000312,0.000312,0,0
1.7712e-16,1,0.000314,0.000314,0,0
1.3511e-16,1,0.000316,0.000316,0,0
9.3087e-17,1,0.000318,0.000318,0,0
5.1068e-17,1,0.00032,0.00032,0,0
9.0492e-18,1,0.000322,0.000322,0,0
-3.297e-17,1,0.000324,0.000324,0,0
-7.4988e-17,1,0.000326,0.000326,0,0
-6.8012e-17,1,0.000328,0.000328,0,0
-5.8695e-17,1,0.00033,0.00033,0,0
-4.9377e-17,1,0.000332,0.000332,0,0
-4.0059e-17,1,0.000334,0.000334,0,0
-3.0741e-17,1,0.000336,0.000336,0,0
-2.1423e-17,1,0.000338,0.000338,0,0
-1.2105e-17,1,0.00034,0.00034,0,0
-2.7874e-18,1,0.000342,0.000342,0,0
6.5305e-18,1,0.000344,0.000344,0,0
1.5848e-17,1,0.000346,0.000346,0,0
1.5255e-17,1,0.000348,0.000348,0,0
