"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0106e+22,1,0,0,0,0
1.0105e+22,1,2e-06,2e-06,0,0
1.0103e+22,1,4e-06,4e-06,0,0
1.0102e+22,1,6e-06,6e-06,0,0
1.01e+22,1,8e-06,8e-06,0,0
1.0099e+22,1,1e-05,1e-05,0,0
1.0097e+22,1,1.2e-05,1.2e-05,0,0
1.0096e+22,1,1.4e-05,1.4e-05,0,0
1.0094e+22,1,1.6e-05,1.6e-05,0,0
1.0093e+22,1,1.8e-05,1.8e-05,0,0
1.0091e+22,1,2e-05,2e-05,0,0
1.009e+22,1,2.2e-05,2.2e-05,0,0
1.0088e+22,1,2.4e-05,2.4e-05,0,0
1.0086e+22,1,2.6e-05,2.6e-05,0,0
1.0085e+22,1,2.8e-05,2.8e-05,0,0
1.0083e+22,1,3e-05,3e-05,0,0
1.0082e+22,1,3.2e-05,3.2e-05,0,0
1.008e+22,1,3.4e-05,3.4e-05,0,0
1.0079e+22,1,3.6e-05,3.6e-05,0,0
1.0077e+22,1,3.8e-05,3.8e-05,0,0
1.0076e+22,1,4e-05,4e-05,0,0
1.0074e+22,1,4.2e-05,4.2e-05,0,0
1.0073e+22,1,4.4e-05,4.4e-05,0,0
1.0071e+22,1,4.6e-05,4.6e-05,0,0
1.007e+22,1,4.8e-05,4.8e-05,0,0
1.0068e+22,1,5e-05,5e-05,0,0
1.0067e+22,1,5.2e-05,5.2e-05,0,0
1.0065e+22,1,5.4e-05,5.4e-05,0,0
1.0064e+22,1,5.6e-05,5.6e-05,0,0
1.0062e+22,1,5.8e-05,5.8e-05,0,0
1.0061e+22,1,6e-05,6e-05,0,0
1.0059e+22,1,6.2e-05,6.2e-05,0,0
1.0058e+22,1,6.4e-05,6.4e-05,0,0
1.0056e+22,1,6.6e-05,6.6e-05,0,0
1.0055e+22,1,6.8e-05,6.8e-05,0,0
1.0053e+22,1,7e-05,7e-05,0,0
1.0052e+22,1,7.2e-05,7.2e-05,0,0
1.005e+22,1,7.4e-05,7.4e-05,0,0
1.0049e+22,1,7.6e-05,7.6e-05,0,0
1.0047e+22,1,7.8e-05,7.8e-05,0,0
1.0046e+22,1,8e-05,8e-05,0,0
1.0044e+22,1,8.2e-05,8.2e-05,0,0
1.0043e+22,1,8.4e-05,8.4e-05,0,0
1.0041e+22,1,8.6e-05,8.6e-05,0,0
1.004e+22,1,8.8e-05,8.8e-05,0,0
1.0038e+22,1,9e-05,9e-05,0,0
1.0037e+22,1,9.2e-05,9.2e-05,0,0
1.0035e+22,1,9.4e-05,9.4e-05,0,0
1.0034e+22,1,9.6e-05,9.6e-05,0,0
1.0032e+22,1,9.8e-05,9.8e-05,0,0
1.0031e+22,1,0.0001,0.0001,0,0
1.0029e+22,1,0.000102,0.000102,0,0
1.0028e+22,1,0.000104,0.000104,0,0
1.0026e+22,1,0.000106,0.000106,0,0
1.0025e+22,1,0.000108,0.000108,0,0
1.0023e+22,1,0.00011,0.00011,0,0
1.0022e+22,1,0.000112,0.000112,0,0
1.002e+22,1,0.000114,0.000114,0,0
1.0019e+22,1,0.000116,0.000116,0,0
1.0017e+22,1,0.000118,0.000118,0,0
1.0016e+22,1,0.00012,0.00012,0,0
1.0014e+22,1,0.000122,0.000122,0,0
1.0013e+22,1,0.000124,0.000124,0,0
1.0011e+22,1,0.000126,0.000126,0,0
1.001e+22,1,0.000128,0.000128,0,0
1.0008e+22,1,0.00013,0.00013,0,0
1.0007e+22,1,0.000132,0.000132,0,0
1.0005e+22,1,0.000134,0.000134,0,0
1.0004e+22,1,0.000136,0.000136,0,0
1.0002e+22,1,0.000138,0.000138,0,0
1.0001e+22,1,0.00014,0.00014,0,0
9.9991e+21,1,0.000142,0.000142,0,0
9.9976e+21,1,0.000144,0.000144,0,0
9.9961e+21,1,0.000146,0.000146,0,0
9.9946e+21,1,0.000148,0.000148,0,0
9.9931e+21,1,0.00015,0.00015,0,0
9.9916e+21,1,0.000152,0.000152,0,0
9.9901e+21,1,0.000154,0.000154,0,0
9.9886e+21,1,0.000156,0.000156,0,0
9.9871e+21,1,0.000158,0.000158,0,0
9.9856e+21,1,0.00016,0.00016,0,0
9.9841e+21,1,0.000162,0.000162,0,0
9.9826e+21,1,0.000164,0.000164,0,0
9.9811e+21,1,0.000166,0.000166,0,0
9.9796e+21,1,0.000168,0.000168,0,0
9.9781e+21,1,0.00017,0.00017,0,0
9.9766e+21,1,0.000172,0.000172,0,0
9.9751e+21,1,0.000174,0.000174,0,0
9.9737e+21,1,0.000176,0.000176,0,0
9.9722e+21,1,0.000178,0.000178,0,0
9.9707e+21,1,0.00018,0.00018,0,0
9.9692e+21,1,0.000182,0.000182,0,0
9.9677e+21,1,0.000184,0.000184,0,0
9.9662e+21,1,0.000186,0.000186,0,0
9.9647e+21,1,0.000188,0.000188,0,0
9.9632e+21,1,0.00019,0.00019,0,0
9.9617e+21,1,0.000192,0.000192,0,0
9.9603e+21,1,0.000194,0.000194,0,0
9.9588e+21,1,0.000196,0.000196,0,0
9.9573e+21,1,0.000198,0.000198,0,0
9.9558e+21,1,0.0002,0.0002,0,0
9.9543e+21,1,0.000202,0.000202,0,0
9.9528e+21,1,0.000204,0.000204,0,0
9.9513e+21,1,0.000206,0.000206,0,0
9.9498e+21,1,0.000208,0.000208,0,0
9.9484e+21,1,0.00021,0.00021,0,0
9.9469e+21,1,0.000212,0.000212,0,0
9.9454e+21,1,0.000214,0.000214,0,0
9.9439e+21,1,0.000216,0.000216,0,0
9.9424e+21,1,0.000218,0.000218,0,0
9.941e+21,1,0.00022,0.00022,0,0
9.9395e+21,1,0.000222,0.000222,0,0
9.938e+21,1,0.000224,0.000224,0,0
9.9365e+21,1,0.000226,0.000226,0,0
9.935e+21,1,0.000228,0.000228,0,0
9.9335e+21,1,0.00023,0.00023,0,0
9.9321e+21,1,0.000232,0.000232,0,0
9.9306e+21,1,0.000234,0.000234,0,0
9.9291e+21,1,0.000236,0.000236,0,0
9.9276e+21,1,0.000238,0.000238,0,0
9.9262e+21,1,0.00024,0.00024,0,0
9.9247e+21,1,0.000242,0.000242,0,0
9.9232e+21,1,0.000244,0.000244,0,0
9.9217e+21,1,0.000246,0.000246,0,0
9.9203e+21,1,0.000248,0.000248,0,0
9.9188e+21,1,0.00025,0.00025,0,0
9.9173e+21,1,0.000252,0.000252,0,0
9.9158e+21,1,0.000254,0.000254,0,0
9.9144e+21,1,0.000256,0.000256,0,0
9.9129e+21,1,0.000258,0.000258,0,0
9.9114e+21,1,0.00026,0.00026,0,0
9.91e+21,1,0.000262,0.000262,0,0
